Exporters	Imported value in 2016-M05	Imported value in 2016-M06	Imported value in 2016-M07	Imported value in 2016-M08	Imported value in 2016-M09	Imported value in 2016-M10	Imported value in 2016-M11	Imported value in 2016-M12	Imported value in 2017-M01	Imported value in 2017-M02	Imported value in 2017-M03	Imported value in 2017-M04	Imported value in 2017-M05	Imported value in 2017-M06	Imported value in 2017-M07	Imported value in 2017-M08	Imported value in 2017-M09	Imported value in 2017-M10	Imported value in 2017-M11	Imported value in 2017-M12	
"World"	200	428	422	332	534	431	591	907	348	539	940	692	537	93	74	98	228	47	217	171	
"New Zealand"	68	0	0	3	0	72	71	0	0	0	0	0	0	0	0	0	0	0	0	89	
"Denmark"	0	49	37	0	57	50	33	52	32	37	56	16	0	68	33	83	56	22	34	57	
"Australia"	132	376	310	256	367	287	482	854	308	497	744	671	303	24	25	0	168	24	62	24	
"Canada"	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	9	0	0	0	0	
"France"	0	0	0	73	0	1	4	0	0	0	124	0	229	0	0	0	5	0	0	0	
"Hong Kong, China"	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Ireland"	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Italy"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Korea, Republic of"	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	
"Russian Federation"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"India"	0	0	0	0	0	11	0	0	0	0	15	0	0	0	14	3	0	0	0	0	
"Viet Nam"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Ukraine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	
"United States of America"	0	4	1	0	1	0	0	0	0	3	0	3	2	0	0	0	0	0	0	0	
