Importers	2021-M03-Exported quantity, Kilograms	2021-M04-Exported quantity, Kilograms	2021-M05-Exported quantity, Kilograms	2021-M06-Exported quantity, Kilograms	2021-M07-Exported quantity, Kilograms	2021-M08-Exported quantity, Kilograms	2021-M09-Exported quantity, Kilograms	2021-M10-Exported quantity, Kilograms	2021-M11-Exported quantity, Kilograms	2021-M12-Exported quantity, Kilograms	2022-M01-Exported quantity, Kilograms	2022-M02-Exported quantity, Kilograms	2022-M03-Exported quantity, Kilograms	2022-M04-Exported quantity, Kilograms	2022-M05-Exported quantity, Kilograms	2022-M06-Exported quantity, Kilograms	2022-M07-Exported quantity, Kilograms	2022-M08-Exported quantity, Kilograms	2022-M09-Exported quantity, Kilograms	2022-M10-Exported quantity, Kilograms	Unnamed: 22"
""Switzerland"""	0.0	0.0	0.0	0.0	63000.0	125400.0	84000.0	42018	0.0	0.0	66000.0	44352.0	110352.0	88009.0	22000.0	0.0	0.0	0.0	174000.0	87000.0	"
""Singapore"""	46855.0	72340.0	0.0	45677.0	73500.0	0.0	13370.0	9675	25000.0	7551.0	0.0	18375.0	25000.0	25000.0	10738.0	0.0	0.0	42206.0	0.0	25000.0	"
""Israel"""	25000.0	50000.0	25000.0	25000.0	50000.0	0.0	25000.0	50000	25000.0	0.0	0.0	0.0	75000.0	0.0	0.0	9264.0	0.0	0.0	0.0	25000.0	"
""China"""	168879.0	257000.0	173326.0	137975.0	75000.0	186000.0	88880.0	161000	74258.0	135316.0	46000.0	0.0	9500.0	156762.0	57196.0	46000.0	65008.0	66316.0	10372.0	23280.0	"
""Austria"""	0.0	109825.0	73442.0	43800.0	43975.0	0.0	0.0	44000	0.0	88080.0	0.0	22000.0	0.0	0.0	22000.0	44000.0	0.0	0.0	0.0	22500.0	"
""Romania"""	0.0	0.0	0.0	0.0	0.0	22000.0	88000.0	176000	88000.0	88000.0	44000.0	22000.0	66000.0	0.0	0.0	0.0	10000.0	0.0	66000.0	22000.0	"
""Australia"""	205550.0	22000.0	207900.0	64000.0	88000.0	0.0	32000.0	28640	41000.0	0.0	28745.0	0.0	0.0	0.0	9995.0	10060.0	20190.0	20000.0	0.0	20060.0	"
""Saudi Arabia"""	11000.0	50000.0	20000.0	4000.0	0.0	217000.0	336350.0	504000	165000.0	203015.0	144000.0	47975.0	50000.0	24000.0	12040.0	0.0	45000.0	45232.0	39040.0	20000.0	"
""Mexico"""	8405.0	13060.0	7016.0	0.0	11650.0	0.0	13376.0	0	0.0	12547.0	0.0	25103.0	0.0	0.0	9887.0	0.0	0.0	11447.0	16423.0	16601.0	"
""Hungary"""	0.0	9600.0	49493.0	5040.0	52400.0	22000.0	44000.0	No Quantity	1812.0	861.0	1040.0	0.0	0.0	7018.0	4628.0	4748.0	9060.0	0.0	0.0	16344.0	"
""Türkiye"""	103670.0	8640.0	3600.0	0.0	0.0	0.0	0.0	784	0.0	8857.0	21162.0	0.0	0.0	6937.0	7897.0	11344.0	0.0	4448.0	0.0	13320.0	"
""Cayman Islands"""	0.0	7456.0	0.0	0.0	0.0	4800.0	0.0	0	0.0	6592.0	0.0	8425.0	0.0	0.0	6167.0	0.0	0.0	6877.0	0.0	9355.0	"
""Denmark"""	36011.0	79255.0	34560.0	0.0	0.0	113283.0	307770.0	112500	67500.0	109005.0	138035.0	0.0	0.0	0.0	6075.0	14450.0	0.0	0.0	21890.0	7215.0	"
""Malaysia"""	4147.0	29307.0	0.0	5231.0	3624.0	0.0	25872.0	0	7368.0	5843.0	25000.0	0.0	15368.0	19338.0	0.0	0.0	8102.0	0.0	0.0	4909.0	"
""Malta"""	12186.0	27353.0	2727.0	10037.0	9817.0	0.0	0.0	8370	3863.0	28080.0	32164.0	0.0	26333.0	26965.0	3284.0	6132.0	6170.0	5256.0	6948.0	3291.0	"
""Cyprus"""	28746.0	0.0	6354.0	0.0	0.0	4569.0	9961.0	21962	28569.0	29923.0	35384.0	23425.0	62118.0	0.0	7651.0	0.0	0.0	0.0	2746.0	1506.0	"
""Gibraltar"""	0.0	960.0	1920.0	0.0	0.0	1920.0	0.0	960	1920.0	960.0	0.0	960.0	3304.0	7612.0	7446.0	0.0	0.0	1920.0	960.0	960.0	"
""Portugal"""	0.0	1920.0	0.0	960.0	1920.0	960.0	2880.0	0	2880.0	1920.0	2270.0	5540.0	0.0	2041.0	0.0	587.0	1299.0	0.0	1117.0	613.0	"
""Qatar"""	0.0	10000.0	0.0	0.0	0.0	0.0	0.0	0	0.0	10000.0	0.0	0.0	0.0	10027.0	10014.0	0.0	0.0	0.0	10000.0	0.0	"
""Slovakia"""	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22000	22000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Viet Nam"""	5908.0	20000.0	0.0	0.0	0.0	8468.0	0.0	0	0.0	0.0	0.0	20000.0	0.0	0.0	0.0	7860.0	0.0	0.0	0.0	0.0	"
""South Africa"""	259600.0	75116.0	150000.0	131240.0	0.0	224240.0	60640.0	80944	49975.0	50000.0	100000.0	21422.0	241509.0	100000.0	15724.0	125000.0	11922.0	20841.0	0.0	0.0	"
""Taipei, Chinese"""	0.0	45000.0	0.0	0.0	25000.0	0.0	25000.0	0	21000.0	23000.0	23000.0	0.0	66255.0	0.0	42000.0	0.0	0.0	0.0	23000.0	0.0	"
""Morocco"""	554000.0	342000.0	150000.0	0.0	273975.0	568396.0	525975.0	635000	300000.0	605000.0	304000.0	157500.0	104975.0	25000.0	24975.0	149975.0	0.0	0.0	0.0	0.0	"
""Norway"""	0.0	100000.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Philippines"""	0.0	0.0	0.0	0.0	0.0	0.0	9904.0	0	0.0	0.0	0.0	0.0	0.0	13092.0	0.0	0.0	0.0	16713.0	0.0	0.0	"
""Senegal"""	0.0	0.0	0.0	19975.0	0.0	0.0	0.0	0	0.0	0.0	25000.0	0.0	25000.0	74775.0	25000.0	0.0	24875.0	24625.0	25000.0	0.0	"
""Seychelles"""	10600.0	17090.0	0.0	0.0	0.0	16000.0	0.0	8817	0.0	0.0	0.0	0.0	0.0	10792.0	0.0	0.0	0.0	0.0	4200.0	0.0	"
""Egypt"""	374975.0	103750.0	147225.0	40000.0	100000.0	0.0	0.0	348000	459975.0	75000.0	276340.0	351415.0	199975.0	200000.0	25000.0	400000.0	25000.0	0.0	0.0	0.0	"
""Trinidad and Tobago"""	0.0	0.0	0.0	42539.0	22401.0	21005.0	41986.0	0	0.0	0.0	19304.0	22382.0	0.0	21446.0	26217.0	0.0	24372.0	26615.0	24146.0	0.0	"
""United Arab Emirates"""	10000.0	10000.0	20000.0	0.0	0.0	16000.0	0.0	18000	20522.0	0.0	240.0	20339.0	18319.0	363.0	73288.0	500.0	40057.0	20000.0	50.0	0.0	"
""Yemen"""	0.0	198975.0	150000.0	275000.0	0.0	124925.0	26100.0	150000	200000.0	348950.0	0.0	0.0	0.0	0.0	125000.0	125000.0	0.0	0.0	374950.0	0.0	"
""Tanzania, United Republic of"""	0.0	0.0	0.0	16583.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14477.0	0.0	0.0	0.0	"
""Greece"""	3000.0	1000.0	2000.0	0.0	2000.0	2000.0	0.0	0	0.0	11950.0	0.0	0.0	13483.0	1063.0	2408.0	14000.0	1354.0	14000.0	0.0	0.0	"
""Guatemala"""	0.0	0.0	0.0	23000.0	0.0	0.0	0.0	46000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Hong Kong, China"""	8352.0	0.0	0.0	8400.0	0.0	8280.0	0.0	10000	6708.0	0.0	0.0	0.0	13607.0	0.0	0.0	7920.0	0.0	0.0	7920.0	0.0	"
""Mauritius"""	3550.0	0.0	0.0	8400.0	0.0	8107.0	0.0	0	0.0	7872.0	0.0	0.0	0.0	7872.0	4034.0	0.0	0.0	8200.0	0.0	0.0	"
""Ghana"""	40000.0	0.0	0.0	0.0	20000.0	12672.0	20000.0	0	0.0	20000.0	0.0	14000.0	0.0	0.0	0.0	0.0	9504.0	0.0	14000.0	0.0	"
""Italy"""	88000.0	78000.0	0.0	960.0	0.0	0.0	4960.0	0	110960.0	154000.0	182104.0	126966.0	190405.0	104913.0	0.0	587.0	0.0	44500.0	0.0	0.0	"
""Côte d'Ivoire"""	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	25000.0	0.0	0.0	0.0	0.0	0.0	"
""Jamaica"""	6048.0	0.0	0.0	0.0	0.0	0.0	0.0	10906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Japan"""	347550.0	0.0	0.0	60500.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25000.0	0.0	"
""Jordan"""	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	8530.0	0.0	0.0	0.0	13590.0	0.0	0.0	0.0	13590.0	0.0	0.0	"
""Korea, Republic of"""	0.0	125.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Kuwait"""	0.0	0.0	0.0	0.0	23750.0	0.0	0.0	0	0.0	9180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Libya, State of"""	48000.0	25000.0	0.0	0.0	0.0	0.0	0.0	0	75001.0	100000.0	175000.0	300000.0	0.0	0.0	408750.0	0.0	0.0	0.0	0.0	0.0	"
""Lithuania"""	0.0	0.0	960.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	809.0	0.0	0.0	0.0	0.0	0.0	"
""Macao, China"""	0.0	0.0	0.0	0.0	0.0	210.0	553.0	121	148033.0	422.0	412.0	0.0	315.0	0.0	0.0	124.0	0.0	75.0	0.0	0.0	"
""Czech Republic"""	22000.0	0.0	0.0	0.0	0.0	0.0	22500.0	0	21000.0	0.0	44000.0	22000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Chile"""	22973.0	0.0	20670.0	22586.0	20725.0	21527.0	0.0	12382	22993.0	0.0	0.0	0.0	21365.0	24884.0	16086.0	21918.0	0.0	23867.0	24028.0	0.0	"
""Georgia"""	25000.0	0.0	0.0	0.0	0.0	25000.0	100000.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Bahamas"""	44440.0	38360.0	0.0	20705.0	21563.0	22210.0	19570.0	43555	20465.0	0.0	21555.0	20836.0	0.0	45396.0	23699.0	25463.0	49109.0	49890.0	24696.0	0.0	"
""Bahrain"""	24060.0	0.0	2031.0	50085.0	5093.0	150011.0	2047.0	2015	11056.0	0.0	0.0	2045.0	1005.0	0.0	4014.0	198.0	4029.0	2024.0	0.0	0.0	"
""Barbados"""	8616.0	0.0	0.0	0.0	0.0	6951.0	0.0	8098	0.0	0.0	8048.0	0.0	0.0	8938.0	9506.0	18924.0	0.0	0.0	0.0	0.0	"
""Bermuda"""	0.0	0.0	0.0	0.0	0.0	5871.0	6035.0	0	0.0	12768.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12940.0	0.0	"
""Bulgaria"""	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	9800.0	0.0	0.0	0.0	63335.0	17976.0	22000.0	0.0	17600.0	43975.0	0.0	"
""Algeria"""	69750.0	25000.0	23750.0	44500.0	50000.0	0.0	0.0	0	0.0	0.0	0.0	99375.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
																					