Importers	2013-M04-Exported quantity, Tons	2013-M05-Exported quantity, Tons	2013-M06-Exported quantity, Tons	2013-M07-Exported quantity, Tons	2013-M08-Exported quantity, Tons	2013-M09-Exported quantity, Tons	2013-M10-Exported quantity, Tons	2013-M11-Exported quantity, Tons	2013-M12-Exported quantity, Tons	2014-M01-Exported quantity, Kilograms	2014-M02-Exported quantity, Kilograms	2014-M03-Exported quantity, Kilograms	2014-M04-Exported quantity, Kilograms	2014-M05-Exported quantity, Kilograms	2014-M06-Exported quantity, Kilograms	2014-M07-Exported quantity, Kilograms	2014-M08-Exported quantity, Kilograms	2014-M09-Exported quantity, Kilograms	2014-M10-Exported quantity, Kilograms	2014-M11-Exported quantity, Kilograms	Unnamed: 22"
""Malaysia"""	0.0	0.0	0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7448.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Mauritius"""	0.0	0.0	13	0.0	0.0	0.0	9.0	0.0	0.0	0.0	3474.0	0.0	0.0	0.0	11291.0	0.0	5812.0	0.0	7678.0	0.0	"
""Taipei, Chinese"""	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20000.0	0.0	"
""Qatar"""	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9536.0	0.0	"
""Russian Federation"""	0.0	0.0	0	0.0	15.0	0.0	31.0	62.0	12.0	40320.0	58424.0	100000.0	341268.0	125000.0	7680.0	21000.0	0.0	0.0	0.0	0.0	"
""Greece"""	13.0	24.0	38	19.0	23.0	15.0	0.0	0.0	0.0	960.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Indonesia"""	1.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Iran, Islamic Republic of"""	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50000.0	0.0	0.0	"
""Italy"""	0.0	22.0	109	20.0	22.0	0.0	0.0	22.0	22.0	0.0	0.0	23750.0	43550.0	88000.0	22650.0	0.0	0.0	0.0	0.0	0.0	"
""Jamaica"""	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15025.0	0.0	0.0	0.0	0.0	"
""Kazakhstan"""	0.0	0.0	0	80.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Jordan"""	0.0	19.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11752.0	0.0	22000.0	34752.0	0.0	0.0	0.0	0.0	0.0	"
""Kuwait"""	10.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11680.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Latvia"""	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10000.0	0.0	0.0	0.0	"
""Czech Republic"""	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	350.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Denmark"""	0.0	0.0	1	7.0	0.0	110.0	135.0	88.0	0.0	47500.0	48212.0	0.0	47500.0	220800.0	0.0	0.0	88000.0	0.0	0.0	0.0	"
""Congo"""	0.0	0.0	0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40008.0	0.0	0.0	20000.0	0.0	0.0	0.0	"
""Georgia"""	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Bahamas"""	22.0	23.0	21	23.0	23.0	0.0	21.0	21.0	40.0	18535.0	0.0	17500.0	23146.0	21484.0	20695.0	37852.0	17609.0	0.0	16344.0	0.0	"
""Bahrain"""	0.0	0.0	0	8.0	0.0	0.0	0.0	1.0	0.0	0.0	3000.0	0.0	0.0	6000.0	7000.0	0.0	3000.0	0.0	0.0	0.0	"
""Bermuda"""	10.0	0.0	0	0.0	0.0	8.0	0.0	0.0	0.0	9627.0	0.0	0.0	0.0	0.0	0.0	10490.0	0.0	0.0	0.0	0.0	"
""Canada"""	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	400000.0	0.0	0.0	"
""Cayman Islands"""	0.0	0.0	0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	6548.0	0.0	0.0	0.0	6311.0	0.0	"
""Chile"""	0.0	0.0	25	0.0	24.0	0.0	48.0	21.0	0.0	0.0	0.0	0.0	0.0	69245.0	0.0	24062.0	23872.0	22407.0	20000.0	0.0	"
""Special categories"""	0.0	0.0	0	0.0	0.0	0.0	0.0	50.0	99.0	25000.0	25000.0	0.0	25000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Slovakia"""	0.0	45.0	23	22.0	0.0	0.0	0.0	0.0	23.0	22000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Zimbabwe"""	0.0	0.0	0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Senegal"""	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Venezuela, Bolivarian Republic of"""	0.0	24.0	0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23971.0	0.0	0.0	0.0	0.0	0.0	
																					