Importers	2011-M08-Exported quantity, Tons	2011-M09-Exported quantity, Tons	2011-M10-Exported quantity, Tons	2011-M11-Exported quantity, Tons	2011-M12-Exported quantity, Tons	2012-M01-Exported quantity, Tons	2012-M02-Exported quantity, Tons	2012-M03-Exported quantity, Tons	2012-M04-Exported quantity, Tons	2012-M05-Exported quantity, Tons	2012-M06-Exported quantity, Tons	2012-M07-Exported quantity, Tons	2012-M08-Exported quantity, Tons	2012-M09-Exported quantity, Tons	2012-M10-Exported quantity, Tons	2012-M11-Exported quantity, Tons	2012-M12-Exported quantity, Tons	2013-M01-Exported quantity, Tons	2013-M02-Exported quantity, Tons	2013-M03-Exported quantity, Tons	Unnamed: 31"
""Lithuania"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	40.0	40.0	40.0	40.0	30.0	10	0	0.0	22	"
""Russian Federation"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	27.0	106.0	0.0	7.0	0.0	7.0	0.0	0	11	7.0	20	"
""Uzbekistan"""	0.0	20	20.0	0.0	20.0	0.0	20.0	20	0.0	20.0	0.0	20.0	0.0	0.0	0.0	20.0	20	0	19.0	20	"
""China"""	25.0	18	25.0	0.0	0.0	0.0	19.0	0	39.0	19.0	29.0	26.0	25.0	0.0	0.0	11.0	19	27	0.0	19	"
""Chile"""	0.0	0	0.0	25.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0	0	0.0	18	"
""Türkiye"""	1.0	37	33.0	2552.0	542.0	2.0	17.0	85	347.0	418.0	57.0	54.0	19.0	20.0	28.0	28.0	10	19	7.0	18	"
""Aruba"""	3.0	5	4.0	5.0	22.0	3.0	2.0	3	1.0	8.0	2.0	16.0	5.0	1.0	3.0	5.0	3	11	6.0	12	"
""Viet Nam"""	0.0	0	1.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0	0	2.0	11	"
""Guinea"""	0.0	0	0.0	1.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	10	"
""Ukraine"""	0.0	6	0.0	2.0	6.0	2.0	0.0	8	2.0	2.0	3.0	0.0	2.0	2.0	0.0	9.0	2	0	1.0	8	"
""Malaysia"""	4.0	1	0.0	0.0	2.0	7.0	0.0	0	5.0	1.0	2.0	1.0	1.0	1.0	5.0	6.0	2	11	15.0	6	"
""Ghana"""	0.0	0	4.0	1.0	4.0	1.0	1.0	5	0.0	1.0	6.0	0.0	0.0	7.0	0.0	2.0	0	1	0.0	5	"
""Poland"""	0.0	7	4.0	3.0	4.0	189.0	193.0	46	4.0	4.0	1.0	6.0	27.0	3.0	6.0	96.0	154	0	25.0	3	"
""Liberia"""	0.0	0	2.0	2.0	1.0	0.0	4.0	1	0.0	2.0	0.0	1.0	0.0	2.0	0.0	4.0	0	2	2.0	2	"
""Barbados"""	0.0	0	0.0	2.0	3.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	2	2.0	2	"
""Sudan (before 2012)"""	3.0	0	1.0	1.0	2.0	0.0	0.0	2	1.0	1.0	3.0	1.0	0.0	1.0	1.0	2.0	2	0	2.0	2	"
""United Kingdom"""	151.0	133	149.0	136.0	190.0	82.0	479.0	558	145.0	481.0	422.0	476.0	264.0	142.0	167.0	269.0	210	22	83.0	1	"
""Ship stores and bunkers"""	4.0	3	2.0	1.0	0.0	0.0	0.0	0	19.0	18.0	17.0	51.0	54.0	48.0	55.0	26.0	2	2	0.0	1	"
""Chad"""	2.0	2	1.0	3.0	0.0	2.0	0.0	0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0	1	2.0	1	"
""Congo"""	0.0	5	4.0	5.0	13.0	0.0	25.0	0	0.0	0.0	25.0	0.0	3.0	26.0	19.0	26.0	2	0	28.0	1	"
""Congo, Democratic Republic of the"""	4.0	26	26.0	1.0	0.0	1.0	0.0	0	1.0	3.0	2.0	0.0	0.0	1.0	1.0	1.0	1	0	1.0	1	"
""Italy"""	198.0	218	334.0	649.0	631.0	231.0	275.0	188	148.0	163.0	230.0	211.0	227.0	304.0	720.0	754.0	363	27	471.0	1	"
""Jordan"""	35.0	15	7.0	0.0	2.0	0.0	13.0	0	38.0	50.0	0.0	10.0	13.0	15.0	0.0	32.0	0	1	1.0	1	"
""Portugal"""	2.0	0	2.0	0.0	0.0	1.0	0.0	0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	No Quantity	0	1.0	1	"
""Timor-Leste"""	0.0	0	0.0	0.0	0.0	1.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Sao Tome and Principe"""	0.0	0	0.0	0.0	0.0	0.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Niger"""	0.0	0	1.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1	1.0	0	"
""Nigeria"""	0.0	0	2.0	0.0	0.0	2.0	0.0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0	0	1.0	0	"
""Norway"""	1.0	1	1.0	0.0	324.0	182.0	0.0	0	0.0	1.0	0.0	65.0	216.0	173.0	194.0	22.0	0	0	0.0	0	"
""Philippines"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4	0	0.0	0	"
""Maldives"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Malta"""	1.0	1	1.0	0.0	0.0	0.0	0.0	1	0.0	1.0	2.0	3.0	0.0	2.0	1.0	1.0	0	5	0.0	0	"
""Mauritania"""	0.0	0	0.0	0.0	1.0	0.0	0.0	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Mauritius"""	13.0	0	0.0	0.0	0.0	0.0	0.0	0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Mexico"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	11.0	0	0	0.0	0	"
""Netherlands Antilles"""	3.0	4	1.0	6.0	2.0	1.0	3.0	0	2.0	1.0	1.0	2.0	3.0	0.0	1.0	0.0	2	0	1.0	0	"
""Kenya"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	0.0	0	"
""Korea, Republic of"""	20.0	3	20.0	2.0	42.0	0.0	0.0	0	80.0	66.0	0.0	0.0	0.0	1.0	0.0	0.0	1	0	0.0	0	"
""Kuwait"""	0.0	0	75.0	0.0	0.0	0.0	0.0	0	19.0	0.0	0.0	69.0	25.0	25.0	1.0	25.0	0	0	0.0	0	"
""Ireland"""	0.0	0	3.0	5.0	180.0	0.0	148.0	0	380.0	681.0	815.0	1256.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Israel"""	1.0	3	1.0	1.0	0.0	0.0	0.0	0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	7.0	0	0	0.0	0	"
""Iran, Islamic Republic of"""	0.0	0	0.0	0.0	100.0	0.0	100.0	0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	0.0	0	0	0.0	0	"
""Côte d'Ivoire"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	1.0	0	"
""Japan"""	150.0	100	0.0	1.0	1.0	0.0	0.0	100	275.0	150.0	425.0	635.0	0.0	417.0	125.0	0.0	0	0	0.0	0	"
""Latvia"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	20.0	0.0	10.0	10.0	10.0	10.0	10.0	10	0	0.0	0	"
""Libya, State of"""	0.0	0	0.0	0.0	0.0	0.0	18.0	0	17.0	22.0	18.0	0.0	0.0	0.0	0.0	18.0	0	No Quantity	0.0	0	"
""Luxembourg"""	0.0	No Quantity	0.0	0.0	0.0	0.0	0.0	No Quantity	0.0	0.0	22.0	22.0	44.0	44.0	0.0	37.0	0	0	0.0	0	"
""Cuba"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	1.0	0.0	0.0	0.0	50.0	0.0	0	0	0.0	0	"
""Cyprus"""	32.0	0	0.0	0.0	0.0	0.0	2.0	0	28.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	23	0	0.0	0	"
""Czech Republic"""	0.0	1	0.0	0.0	0.0	0.0	41.0	0	23.0	18.0	0.0	0.0	0.0	0.0	0.0	1.0	22	0	0.0	0	"
""Denmark"""	13.0	25	8.0	31.0	15.0	27.0	165.0	79	15.0	17.0	25.0	16.0	763.0	161.0	94.0	749.0	26	258	33.0	No Quantity	"
""Dominican Republic"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Equatorial Guinea"""	0.0	3	11.0	3.0	0.0	2.0	0.0	6	1.0	2.0	7.0	5.0	4.0	2.0	2.0	5.0	1	3	8.0	0	"
""Ethiopia"""	0.0	0	1.0	0.0	0.0	0.0	0.0	0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0	1	0.0	0	"
""Eritrea"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Estonia"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	20.0	0.0	13.0	10.0	10.0	10.0	21.0	40	0	0.0	0	"
""Finland"""	0.0	72	120.0	120.0	96.0	12.0	0.0	0	0.0	0.0	47.0	0.0	24.0	0.0	46.0	110.0	44	44	2.0	0	"
""Bulgaria"""	0.0	0	0.0	2.0	3.0	0.0	0.0	0	24.0	2.0	0.0	0.0	2.0	0.0	27.0	44.0	3	0	3.0	0	"
""Cambodia"""	1.0	0	0.0	1.0	4.0	0.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1	0.0	0	"
""Canada"""	1.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Cabo Verde"""	0.0	14	14.0	0.0	0.0	0.0	14.0	0	0.0	0.0	0.0	0.0	14.0	0.0	14.0	0.0	0	0	0.0	0	"
""Afghanistan"""	0.0	0	2.0	9.0	2.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Algeria"""	0.0	0	22.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Angola"""	0.0	0	0.0	1.0	0.0	3.0	0.0	0	0.0	0.0	0.0	2.0	1.0	1.0	2.0	1.0	0	0	4.0	0	"
""Azerbaijan"""	25.0	0	0.0	0.0	23.0	20.0	22.0	0	1.0	22.0	21.0	0.0	0.0	19.0	0.0	0.0	20	0	0.0	0	"
""Argentina"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Bahrain"""	0.0	9	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0	0	0.0	0	"
""Bangladesh"""	0.0	1	0.0	0.0	0.0	0.0	0.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	0.0	0	"
""Gabon"""	2.0	0	2.0	0.0	0.0	1.0	0.0	1	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0	1	0.0	0	"
""Georgia"""	0.0	0	17.0	1.0	0.0	0.0	0.0	0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Gambia"""	1.0	1	2.0	1.0	5.0	1.0	1.0	5	0.0	3.0	0.0	0.0	0.0	0.0	4.0	1.0	0	0	1.0	0	"
""Gibraltar"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Comoros"""	0.0	0	0.0	0.0	0.0	0.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0	0	0.0	0	"
""Haiti"""	0.0	0	0.0	0.0	1.0	1.0	0.0	1	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0	0	0.0	0	"
""Hong Kong, China"""	0.0	1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0.0	0	"
""Hungary"""	76.0	84	84.0	63.0	84.0	63.0	63.0	84	21.0	22.0	0.0	43.0	54.0	45.0	78.0	80.0	15	0	45.0	0	"
""Tanzania, United Republic of"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Venezuela, Bolivarian Republic of"""	0.0	0	0.0	0.0	0.0	0.0	48.0	0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Yemen"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	80.0	0.0	68.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Macedonia, North"""	0.0	0	0.0	0.0	2.0	0.0	0.0	0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Egypt"""	34.0	34	0.0	17.0	0.0	17.0	0.0	0	267.0	8.0	34.0	34.0	0.0	17.0	17.0	0.0	0	0	34.0	0	"
""Turkmenistan"""	0.0	0	0.0	0.0	2.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Uganda"""	0.0	0	0.0	0.0	0.0	0.0	1.0	0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0	0	1.0	0	"
""United States of America"""	18.0	0	0.0	1.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	1.0	1.0	54.0	234	0	0.0	0	"
""United States Minor Outlying Islands"""	2.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Burkina Faso"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0	0.0	0	"
""Suriname"""	7.0	7	3.0	4.0	3.0	1.0	4.0	1	0.0	0.0	0.0	11.0	1.0	4.0	5.0	2.0	1	0	0.0	0	"
""Sweden"""	0.0	0	1.0	0.0	0.0	83.0	67.0	92	16.0	40.0	37.0	27.0	48.0	131.0	117.0	94.0	102	66	77.0	0	"
""Switzerland"""	0.0	0	1.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0	0	1.0	0	"
""Trinidad and Tobago"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""United Arab Emirates"""	0.0	0	14.0	0.0	0.0	0.0	0.0	0	16.0	25.0	36.0	0.0	9.0	151.0	26.0	18.0	18	0	0.0	0	"
""Tunisia"""	0.0	0	0.0	0.0	0.0	176.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Slovenia"""	1.0	0	1.0	0.0	0.0	1.0	0.0	1	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1	0	1.0	0	"
""Somalia"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Slovakia"""	0.0	22	0.0	0.0	23.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1	2.0	0	"
""Serbia"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	"
""Seychelles"""	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0	0	0.0	0	"
""Sierra Leone"""	2.0	0	0.0	7.0	4.0	0.0	1.0	1	1.0	1.0	0.0	2.0	4.0	2.0	4.0	4.0	0	0	0.0	0	
																					