Importers	Exported value in 2011-M08	Exported value in 2011-M09	Exported value in 2011-M10	Exported value in 2011-M11	Exported value in 2011-M12	Exported value in 2012-M01	Exported value in 2012-M02	Exported value in 2012-M03	Exported value in 2012-M04	Exported value in 2012-M05	Exported value in 2012-M06	Exported value in 2012-M07	Exported value in 2012-M08	Exported value in 2012-M09	Exported value in 2012-M10	Exported value in 2012-M11	Exported value in 2012-M12	Exported value in 2013-M01	Exported value in 2013-M02	Exported value in 2013-M03	
"World"	36435	45629	40622	58308	60020	46574	46076	42434	35250	38467	37726	35786	35678	38327	45393	49845	29925	13634	32125	23691	
"Germany"	7548	10206	8254	11185	11669	11073	9403	11194	6481	8530	6051	7168	8040	6434	9262	10591	5724	1505	3571	9824	
"France"	9892	13814	9483	14273	18802	15809	14956	11331	11995	8651	10266	10509	10711	13803	15450	18395	10251	4595	12771	6147	
"Singapore"	841	1945	2367	1787	2887	1457	890	1568	1283	1452	1248	1397	1352	1079	1814	1756	706	2309	339	2606	
"Belgium"	12861	14016	12902	15105	14879	10697	10749	9917	5603	8764	10339	6083	8499	9450	10408	8319	7023	961	9340	1603	
"Special categories"	0	0	0	0	0	49	214	99	66	77	76	51	50	28	176	84	84	816	776	601	
"Indonesia"	97	659	875	0	403	618	1170	1284	1130	1092	264	0	0	273	363	468	563	569	919	470	
"Lebanon"	121	107	414	89	272	210	257	255	15	355	61	66	80	178	100	11	15	251	82	335	
"Morocco"	0	0	1040	0	0	0	0	0	776	605	605	62	0	231	0	0	0	0	332	332	
"Greece"	453	472	143	347	276	266	301	373	364	297	351	547	265	234	337	449	182	304	412	323	
"Romania"	0	0	159	158	79	484	349	136	271	213	0	212	0	69	0	0	0	0	0	146	
"Taipei, Chinese"	22	0	84	0	90	358	265	345	85	86	114	211	114	57	0	23	0	0	84	140	
"Saudi Arabia"	105	103	0	0	109	99	84	12	419	172	195	87	12	200	80	28	69	182	23	97	
"Syrian Arab Republic"	193	107	105	884	360	602	0	0	0	80	366	160	0	0	0	0	100	0	0	96	
"Iraq"	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	12	95	1	2	92	
"Russian Federation"	0	0	0	0	0	0	0	0	0	88	313	0	21	0	21	0	0	49	29	88	
"Türkiye"	4	182	160	8626	1860	7	70	285	1007	1181	202	248	65	98	103	120	38	87	30	82	
"Spain"	615	436	440	415	360	386	666	856	420	636	579	315	356	217	384	219	207	24	301	79	
"Uzbekistan"	0	80	76	0	78	0	74	77	0	56	0	59	0	0	0	77	78	0	75	72	
"Lithuania"	0	0	0	0	0	0	0	0	0	0	0	137	137	137	137	102	34	0	0	70	
"Chile"	0	0	0	108	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	70	
"China"	104	76	101	0	0	0	71	0	147	63	107	81	66	0	0	46	70	95	0	68	
"Aruba"	11	22	18	15	110	12	6	13	5	41	3	79	20	6	10	20	9	25	29	50	
"Austria"	112	3	21	1005	769	417	1020	531	407	574	667	584	414	200	462	502	123	135	159	48	
"Guinea"	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	41	
"Viet Nam"	0	0	5	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	7	36	
"Malaysia"	18	4	0	0	13	33	0	0	19	3	7	4	5	2	19	28	7	60	75	34	
"Ukraine"	0	23	0	6	26	6	0	32	8	6	7	0	5	9	0	33	6	0	3	31	
"Ghana"	0	0	23	3	21	2	5	24	0	3	28	1	0	36	1	10	0	3	0	22	
"Barbados"	0	0	0	8	18	0	0	0	0	0	0	0	0	0	0	0	0	10	12	11	
"Sudan (before 2012)"	15	1	2	4	11	1	1	9	6	5	12	6	0	6	2	7	8	0	7	9	
"Liberia"	0	0	8	7	3	0	14	3	0	9	0	4	0	5	0	14	0	6	8	7	
"Jordan"	150	70	30	0	12	0	46	0	120	138	0	26	37	45	0	94	0	3	3	6	
"Poland"	0	29	16	12	15	652	663	158	14	12	3	21	72	9	16	327	532	0	79	5	
"Congo, Democratic Republic of the"	20	114	117	7	1	4	0	0	3	13	9	0	0	4	3	3	4	1	3	5	
"Portugal"	10	0	10	0	1	6	0	0	3	5	8	5	8	8	6	6	0	0	2	4	
"Ship stores and bunkers"	17	13	8	5	0	1	1	2	73	79	76	201	213	189	217	98	9	7	0	4	
"Congo"	0	21	16	21	56	2	97	0	0	0	70	0	9	76	74	98	6	1	112	3	
"Italy"	826	874	1334	2451	2273	663	823	629	432	392	561	512	629	850	2074	2615	1126	94	1502	3	
"Chad"	8	10	5	16	0	10	0	0	0	0	0	3	0	0	3	3	0	2	8	2	
"United Kingdom"	655	569	612	545	721	328	1680	1990	523	1437	1166	1301	715	358	472	826	734	76	198	2	
"Tanzania, United Republic of"	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	
"Venezuela, Bolivarian Republic of"	0	0	0	0	0	0	298	0	0	0	270	0	0	0	0	0	0	0	0	0	
"Yemen"	0	0	0	0	0	0	0	0	0	246	0	211	0	0	0	0	0	0	0	0	
"Macedonia, North"	0	0	0	0	9	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	
"Egypt"	166	170	0	86	0	80	0	0	731	35	131	134	0	70	65	0	0	0	137	0	
"Turkmenistan"	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Uganda"	0	0	0	0	2	0	8	0	0	0	0	7	8	2	0	0	0	0	10	0	
"United States of America"	72	0	0	10	0	0	0	10	0	0	0	0	0	10	8	185	823	0	0	0	
"United States Minor Outlying Islands"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Burkina Faso"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
"Suriname"	20	26	11	13	13	8	6	3	0	0	6	30	2	6	14	10	6	0	0	0	
"Sweden"	0	0	6	0	0	352	237	320	92	130	108	84	153	403	430	466	427	253	290	0	
"Switzerland"	0	0	2	0	0	0	2	0	0	0	0	0	0	0	68	0	0	0	2	0	
"Trinidad and Tobago"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
"United Arab Emirates"	0	0	71	0	0	0	0	0	69	71	114	0	34	440	108	77	77	0	0	0	
"Tunisia"	0	0	0	0	0	597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Slovenia"	6	0	3	0	0	2	0	2	0	1	0	2	0	0	2	0	3	0	2	0	
"Somalia"	0	0	0	0	0	0	0	0	0	7	4	0	0	1	1	0	0	0	0	0	
"Slovakia"	0	84	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	
"Serbia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Seychelles"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	
"Sierra Leone"	9	0	0	36	17	0	6	6	5	6	1	8	14	7	14	17	2	0	0	0	
"Bahrain"	0	49	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	
"Bangladesh"	0	3	0	0	0	0	0	1	0	5	0	0	0	0	0	0	2	0	0	0	
"Gabon"	6	0	8	0	0	4	0	2	0	0	3	0	0	0	3	0	0	3	0	0	
"Georgia"	0	0	71	2	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	
"Gambia"	2	3	10	4	25	3	3	23	1	11	0	0	0	0	17	6	2	0	5	0	
"Gibraltar"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Comoros"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	
"Haiti"	0	0	0	0	6	6	0	6	0	0	10	0	0	3	0	0	1	0	0	0	
"Hong Kong, China"	0	3	0	0	2	0	0	2	2	0	0	1	2	0	2	0	2	0	2	0	
"Hungary"	312	338	337	252	323	228	229	286	66	69	1	113	143	126	238	176	48	0	150	0	
"Cuba"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	154	0	0	0	0	0	
"Cyprus"	141	0	0	0	0	0	8	0	116	7	0	16	0	0	0	0	98	0	0	0	
"Czech Republic"	0	3	0	0	0	0	148	0	78	65	0	0	0	0	0	2	77	0	0	0	
"Denmark"	69	79	42	138	75	103	582	284	63	73	79	61	2204	462	326	2387	90	988	124	0	
"Dominican Republic"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	
"Equatorial Guinea"	0	12	51	13	0	10	1	22	3	7	26	20	13	7	9	17	2	14	34	0	
"Ethiopia"	0	0	5	0	0	0	0	0	0	0	4	1	0	0	8	0	0	3	0	0	
"Eritrea"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
"Estonia"	0	0	0	0	0	0	0	0	0	68	0	34	34	35	34	69	137	0	0	0	
"Finland"	0	298	499	502	401	50	0	0	0	0	130	0	67	0	155	386	154	155	5	0	
"Bulgaria"	0	0	0	10	14	0	0	0	88	5	0	0	6	0	80	117	13	0	11	0	
"Cambodia"	3	1	0	3	17	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	
"Canada"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Cabo Verde"	0	98	96	0	0	0	89	0	0	0	0	0	84	0	81	0	1	0	0	0	
"Afghanistan"	2	2	12	54	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Algeria"	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Angola"	1	0	0	2	0	15	0	0	0	1	0	7	4	3	6	3	1	0	15	0	
"Azerbaijan"	106	0	0	0	98	84	88	0	3	80	71	0	0	75	0	0	66	0	0	0	
"Argentina"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Côte d'Ivoire"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
"Japan"	622	423	0	5	4	0	0	315	871	473	953	1427	0	1277	390	0	0	0	0	0	
"Latvia"	0	0	0	0	0	0	0	0	0	69	0	34	33	34	33	34	34	0	0	0	
"Libya, State of"	0	0	0	0	0	0	75	0	63	92	71	0	0	0	0	68	1	0	0	0	
"Luxembourg"	0	0	0	3	0	1	0	0	0	0	57	63	125	125	0	131	0	0	0	0	
"Kenya"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	
"Korea, Republic of"	95	13	89	9	180	0	0	0	248	161	0	0	0	2	0	0	3	0	0	0	
"Kuwait"	0	0	303	0	0	0	0	0	61	0	0	211	73	73	9	85	0	0	0	0	
"Ireland"	0	0	14	22	688	0	0	0	913	1603	1871	2903	1	0	0	0	0	0	0	0	
"Israel"	2	13	3	6	0	0	0	0	0	0	13	0	0	0	0	23	0	0	0	0	
"Iran, Islamic Republic of"	0	0	0	0	377	0	377	0	0	0	0	0	0	304	312	0	0	0	0	0	
"Netherlands Antilles"	11	20	4	25	11	3	11	0	6	1	3	4	8	0	1	0	7	0	2	0	
"Maldives"	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
"Malta"	2	4	5	0	0	0	0	2	0	4	8	10	0	7	5	3	0	17	0	0	
"Mauritania"	0	0	0	0	11	0	0	3	0	0	0	2	0	0	0	0	2	0	0	0	
"Mauritius"	55	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	
"Mexico"	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	67	0	0	0	0	
"Timor-Leste"	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
"Sao Tome and Principe"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Niger"	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	3	0	
"Nigeria"	0	0	8	0	0	9	0	0	0	0	0	0	1	0	0	7	0	0	3	0	
"Norway"	1	2	1	0	1436	744	0	0	0	3	0	204	685	546	720	85	0	0	0	0	
"Philippines"	0	0	0	0	0	0	1	0	2	16	0	0	0	0	2	0	19	0	0	0	
