Importers	Exported value in 2017-M12	Exported value in 2018-M01	Exported value in 2018-M02	Exported value in 2018-M03	Exported value in 2018-M04	Exported value in 2018-M05	Exported value in 2018-M06	Exported value in 2018-M07	Exported value in 2018-M08	Exported value in 2018-M09	Exported value in 2018-M10	Exported value in 2018-M11	Exported value in 2018-M12	Exported value in 2019-M01	Exported value in 2019-M02	Exported value in 2019-M03	Exported value in 2019-M04	Exported value in 2019-M05	Exported value in 2019-M06	Exported value in 2019-M07	
"World"	84952	73328	74557	88034	75727	79010	97100	83753	79438	88402	98651	102017	95660	84730	79231	97214	96930	75362	67427	86051	
"Germany"	27778	19101	14164	23036	8335	17248	24715	24506	17204	20756	24069	35826	33066	29379	24397	37143	39134	26726	23271	25367	
"France"	25659	23061	25119	24487	26367	30557	32970	29026	27012	32393	35038	33596	30955	25852	21961	25067	22887	19499	19532	21154	
"Cyprus"	962	29	3293	1282	1146	1303	1134	202	3010	3	4	87	2891	196	280	138	89	81	1894	12496	
"Belgium"	14758	16339	14130	18056	15169	13142	15323	10103	11745	13217	17140	14737	13765	13220	11123	13504	13431	14378	9280	9246	
"Japan"	1100	713	1092	3869	2156	1240	1193	972	149	860	1002	110	2912	1165	456	1575	4225	979	2518	2519	
"Indonesia"	0	469	1636	1927	1982	0	0	0	3005	1398	814	0	0	1192	731	1571	1043	1146	775	2410	
"Singapore"	1833	897	1015	1870	2668	846	1320	2225	1320	1465	1008	1712	2168	660	1615	1006	1536	2429	387	2265	
"United Kingdom"	3793	2837	3478	3953	4965	4464	6858	6037	6842	6958	6854	3979	1631	1948	6901	3528	2958	525	9	1597	
"Italy"	783	900	690	320	585	338	1946	1226	709	1472	3085	3043	1068	1645	2742	2918	2521	1438	2001	1577	
"China"	2052	377	84	457	430	158	666	432	275	349	798	1101	918	399	228	770	581	443	267	1192	
"Spain"	526	1252	1230	609	1244	1393	1779	665	778	655	1324	1663	772	909	1065	1523	1222	1566	1207	1017	
"Syrian Arab Republic"	259	0	209	313	923	227	0	0	0	14	0	0	462	219	310	691	474	356	0	838	
"United Arab Emirates"	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	791	
"Ship stores and bunkers"	0	3	4	1	16	67	43	29	37	24	21	8	30	16	15	24	299	675	708	658	
"Poland"	1637	2020	1531	1649	2522	880	1991	2567	1830	1903	1492	1677	833	2299	1388	889	1758	1074	1526	472	
"Austria"	226	1082	593	545	475	262	567	326	560	1089	977	322	231	455	291	508	176	562	279	327	
"Greece"	872	766	779	449	365	772	806	812	721	539	621	887	672	460	874	715	1224	952	903	327	
"Denmark"	62	45	613	408	1985	2206	1205	681	487	1465	800	610	1139	779	109	839	475	89	258	273	
"Portugal"	39	76	33	45	76	101	214	1129	392	28	391	35	199	46	116	354	0	108	28	251	
"Romania"	370	180	133	192	27	54	1	136	96	179	452	77	42	8	5	98	272	2	90	202	
"Sweden"	193	208	234	422	622	259	353	130	141	277	165	155	86	206	201	140	220	169	173	129	
"Lebanon"	5	414	513	210	706	0	0	0	277	0	499	240	216	416	444	1076	269	116	192	102	
"Taipei, Chinese"	48	422	481	522	491	698	304	51	58	52	240	101	101	202	0	552	124	228	489	98	
"Hungary"	318	475	239	236	349	321	443	545	253	389	238	521	226	303	244	269	130	206	221	88	
"Türkiye"	243	18	173	94	7	379	448	379	104	0	143	101	6	92	14	109	104	4	172	82	
"Iraq"	0	5	1	4	3	6	4	1	0	7	9	21	15	30	164	77	13	60	22	66	
"Lithuania"	0	0	5	111	21	126	125	122	110	0	6	8	107	1	146	108	0	55	3	65	
"Bulgaria"	147	148	67	208	65	301	108	133	478	348	416	315	248	113	486	158	181	92	131	63	
"Mexico"	0	0	16	0	34	0	0	0	0	0	0	0	0	0	0	89	0	0	0	47	
"Korea, Republic of"	13	0	25	15	0	24	17	46	6	0	32	6	16	53	10	45	40	66	0	45	
"Israel"	1	0	95	10	28	0	0	0	0	0	23	0	0	0	0	0	6	0	45	42	
"Mali"	21	22	21	26	6	0	19	17	19	30	19	14	21	7	27	28	6	33	12	41	
"Viet Nam"	0	0	4	17	0	113	48	45	0	0	2	0	0	0	0	17	4	76	23	24	
"Suriname"	10	24	26	14	8	25	41	10	19	42	9	31	14	22	19	19	12	17	38	19	
"Burkina Faso"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16	
"Central African Republic"	16	0	0	0	17	2	8	10	6	7	5	10	7	7	8	15	0	12	0	16	
"Aruba"	6	17	20	36	32	40	13	5	24	14	39	18	7	36	6	37	7	23	26	11	
"Philippines"	0	43	0	0	46	0	52	0	0	49	0	0	0	0	44	0	0	0	46	11	
"Bonaire, Sint Eustatius and Saba"	5	0	0	0	0	0	0	0	0	0	0	0	0	3	9	16	5	13	4	8	
"Slovakia"	108	3	18	2	18	21	4	3	21	4	2	21	4	1	8	7	0	8	7	8	
"Ghana"	0	0	30	0	0	0	5	0	27	0	51	7	0	0	0	0	10	0	0	8	
"Malta"	7	20	16	6	51	4	1	4	41	5	1	14	1	0	0	3	24	8	0	7	
"Somalia"	1	2	1	3	0	1	3	0	0	1	2	0	3	7	0	6	0	1	22	6	
"Malaysia"	63	0	0	88	0	0	65	0	0	0	6	71	0	46	2	1	14	47	4	5	
"Congo"	11	6	3	31	7	4	9	7	5	8	5	16	0	5	5	5	0	0	0	5	
"Congo, Democratic Republic of the"	0	7	0	0	3	0	1	0	0	0	0	0	0	0	4	0	0	4	0	4	
"Afghanistan"	14	18	1	2	5	30	0	0	24	38	7	0	4	0	7	29	17	0	16	4	
"Slovenia"	11	18	0	4	4	135	2	0	13	0	5	2	0	0	2	1	2	2	90	4	
"Gambia"	1	7	20	4	3	0	11	1	15	7	8	18	6	54	5	10	2	2	0	3	
"Ireland"	77	6	189	196	414	112	5	44	81	43	78	6	6	2	9	452	405	13	6	3	
"Sierra Leone"	0	0	0	0	0	5	1	0	0	25	0	0	0	32	0	0	0	6	0	2	
"Curaçao"	8	14	56	11	36	63	29	16	16	34	25	43	15	5	20	31	15	20	3	1	
"Gibraltar"	0	0	0	3	0	2	1	0	0	0	2	0	0	0	1	0	2	0	0	1	
"Latvia"	1	2	0	0	0	1	255	197	0	0	5	84	3	472	5	1	0	2	3	1	
"Croatia"	2	7	2	3	106	1	2	1	1	1	1	28	4	1	1	8	1	1	1	1	
"Cuba"	0	0	33	0	0	26	29	0	0	22	24	0	21	0	19	0	0	0	0	0	
"Dominican Republic"	0	0	0	0	79	0	0	89	0	0	0	0	0	79	0	0	0	71	0	0	
"Equatorial Guinea"	0	9	0	0	3	0	14	0	4	3	3	10	2	2	7	0	9	1	0	0	
"Eritrea"	0	1	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	6	0	
"Estonia"	0	8	0	1	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	
"Falkland Islands (Malvinas)"	8	7	3	4	0	0	6	5	9	5	0	0	4	0	0	0	16	0	0	0	
"Finland"	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	18	0	0	
"Guinea"	0	0	0	4	3	0	0	0	3	0	6	7	0	0	0	3	9	0	0	0	
"Guyana"	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Haiti"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
"Hong Kong, China"	99	0	50	2	57	6	17	0	129	0	5	9	18	0	0	70	85	0	48	0	
"Czech Republic"	119	0	71	81	67	72	488	315	389	0	0	0	82	138	0	132	0	0	100	0	
"Georgia"	0	0	101	99	0	0	0	0	0	0	0	0	16	0	0	0	0	0	48	0	
"Angola"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Antigua and Barbuda"	0	0	0	0	2	0	0	0	0	5	0	0	0	0	1	1	0	0	0	0	
"Australia"	0	91	86	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	
"Bangladesh"	0	0	9	0	0	0	11	0	0	0	0	0	4	0	0	0	0	0	3	0	
"Bosnia and Herzegovina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	13	0	
"Chad"	0	0	0	4	0	0	0	2	10	0	0	0	8	0	0	0	10	0	0	0	
"Colombia"	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	
"Comoros"	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	5	0	7	0	0	
"Cambodia"	0	4	20	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	
"Canada"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Cabo Verde"	102	4	0	2	0	99	0	0	0	2	6	0	93	0	0	92	0	0	90	0	
"Liberia"	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	
"Libya, State of"	0	0	0	0	0	0	0	0	0	0	0	118	118	0	0	0	2	0	0	0	
"Côte d'Ivoire"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	
"Jamaica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	
"Jordan"	0	113	0	117	117	149	0	0	0	0	0	0	0	0	0	112	0	0	0	0	
"Kenya"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
"Iran, Islamic Republic of"	0	425	426	900	0	0	1000	0	240	1760	0	0	0	0	0	0	0	0	0	0	
"Maldives"	14	0	65	0	0	0	159	0	0	0	0	0	0	0	120	0	0	0	0	0	
"Montenegro"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	
"Morocco"	115	161	534	103	0	0	0	0	0	0	0	0	0	822	273	0	178	368	266	0	
