Importers	2016-M05-Exported quantity, Kilograms	2016-M06-Exported quantity, Kilograms	2016-M07-Exported quantity, Kilograms	2016-M08-Exported quantity, Kilograms	2016-M09-Exported quantity, Kilograms	2016-M10-Exported quantity, Kilograms	2016-M11-Exported quantity, Kilograms	2016-M12-Exported quantity, Kilograms	2017-M01-Exported quantity, Kilograms	2017-M02-Exported quantity, Kilograms	2017-M03-Exported quantity, Kilograms	2017-M04-Exported quantity, Kilograms	2017-M05-Exported quantity, Kilograms	2017-M06-Exported quantity, Kilograms	2017-M07-Exported quantity, Kilograms	2017-M08-Exported quantity, Kilograms	2017-M09-Exported quantity, Kilograms	2017-M10-Exported quantity, Kilograms	2017-M11-Exported quantity, Kilograms	2017-M12-Exported quantity, Kilograms	Unnamed: 24"
""Hungary"""	73044.0	91311.0	93728	97057.0	140692.0	114783.0	89239	62042	116745.0	58563.0	727183.0	49207.0	100759.0	68666	94207.0	93482.0	109007.0	158778.0	97782.0	55901.0	"
""Syrian Arab Republic"""	124950.0	49991.0	0	0.0	0.0	0.0	0	0	50000.0	50000.0	125000.0	274000.0	47875.0	198975	0.0	100000.0	0.0	0.0	0.0	50000.0	"
""Austria"""	77381.0	233029.0	170629	172954.0	195337.0	157831.0	256016	125649	22948.0	145211.0	29347.0	6198.0	36603.0	102605	195683.0	50047.0	37835.0	219775.0	288138.0	49221.0	"
""Sweden"""	17882.0	90079.0	73908	105942.0	75934.0	120727.0	186322	62176	77444.0	59086.0	80250.0	68262.0	52948.0	54485	49387.0	47072.0	41482.0	41448.0	35784.0	47293.0	"
""Thailand"""	1980.0	0.0	0	0.0	10240.0	43998.0	65997	23000	69000.0	23000.0	23000.0	23000.0	0.0	0	0.0	23000.0	0.0	23000.0	0.0	46000.0	"
""Türkiye"""	27902.0	17900.0	141050	172800.0	283248.0	39419.0	49568	17000	38340.0	1240.0	19520.0	37530.0	25000.0	42100	47170.0	0.0	17060.0	21200.0	19900.0	41600.0	"
""Bulgaria"""	22303.0	23219.0	1694	130831.0	72029.0	165182.0	107981	21743	868.0	36213.0	36373.0	34071.0	20255.0	7703	31206.0	63.0	0.0	62873.0	66965.0	35726.0	"
""Saudi Arabia"""	95250.0	26580.0	77520	26250.0	138500.0	118500.0	77710	26000	90200.0	117200.0	26004.0	79780.0	47400.0	1000	28520.0	1000.0	26000.0	30780.0	1000.0	26000.0	"
""Czech Republic"""	2856.0	3388.0	93504	74141.0	51761.0	28928.0	31520	28737	21990.0	21229.0	64855.0	57947.0	118430.0	21549	23065.0	45848.0	23533.0	43488.0	69688.0	24109.0	"
""Morocco"""	100000.0	300000.0	50000	25000.0	0.0	0.0	0	0	0.0	44500.0	0.0	0.0	0.0	0	0.0	0.0	0.0	67500.0	89500.0	22500.0	"
""Slovakia"""	45497.0	27241.0	657	368.0	353.0	65649.0	22322	22289	22569.0	23192.0	21581.0	28587.0	20621.0	129	533.0	21141.0	21108.0	21903.0	41.0	21417.0	"
""Serbia"""	0.0	0.0	0	0.0	0.0	0.0	0	21000	0.0	0.0	21000.0	0.0	0.0	0	0.0	0.0	0.0	20950.0	0.0	20950.0	"
""Ireland"""	788.0	707.0	462126	68967.0	913.0	25431.0	26704	620	1568.0	155565.0	721.0	630.0	592.0	72460	12687.0	489.0	628.0	599.0	123196.0	20803.0	"
""Hong Kong, China"""	1050.0	3908.0	1980	3072.0	0.0	20260.0	3368	3368	3268.0	566.0	11250.0	1324.0	0.0	455	3136.0	8792.0	5720.0	9024.0	6260.0	19000.0	"
""Cabo Verde"""	0.0	13464.0	220	2016.0	0.0	14472.0	0	0	0.0	0.0	1008.0	13464.0	0.0	0	13464.0	504.0	0.0	0.0	0.0	13464.0	"
""Malaysia"""	0.0	480.0	0	2000.0	0.0	0.0	6400	0	0.0	0.0	78400.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	12000.0	"
""Denmark"""	28813.0	57727.0	10869	163189.0	69890.0	32438.0	123937	102935	110315.0	68849.0	31644.0	301540.0	489313.0	317505	326090.0	162802.0	252649.0	237751.0	234837.0	10142.0	"
""Taipei, Chinese"""	0.0	63710.0	93700	69000.0	0.0	24700.0	12000	5000	72400.0	48900.0	86100.0	113008.0	45005.0	63925	20000.0	0.0	57900.0	73540.0	30730.0	9000.0	"
""Portugal"""	6532.0	6637.0	7923	3888.0	3041.0	6191.0	1477	3249	27516.0	2643.0	4334.0	6753.0	3582.0	2391	75353.0	25961.0	100161.0	54335.0	46158.0	6604.0	"
""Mali"""	4510.0	1200.0	190	1350.0	1180.0	6800.0	290	3240	910.0	0.0	4690.0	6150.0	2980.0	1832	1880.0	3040.0	1490.0	1834.0	2278.0	3134.0	"
""Luxembourg"""	921.0	905.0	2402	155.0	3159.0	79.0	2391	147	47.0	841.0	913.0	942.0	933.0	221	304.0	626.0	149.0	126.0	490.0	2533.0	"
""Central African Republic"""	0.0	200.0	1350	1900.0	1700.0	1100.0	2590	0	0.0	0.0	0.0	350.0	0.0	2060	2771.0	740.0	1380.0	1240.0	450.0	2390.0	"
""Korea, Republic of"""	0.0	0.0	0	0.0	0.0	0.0	0	0	1200.0	4010.0	7980.0	1250.0	4500.0	10520	2500.0	3500.0	0.0	2000.0	3750.0	2160.0	"
""Maldives"""	0.0	0.0	0	398.0	0.0	0.0	0	11250	0.0	400.0	100.0	0.0	0.0	12930	0.0	60.0	11250.0	0.0	0.0	2080.0	"
""Aruba"""	10676.0	6856.0	8843	4108.0	5188.0	7644.0	7042	8121	1793.0	1513.0	4257.0	10860.0	5949.0	3564	1822.0	2884.0	1896.0	2821.0	7825.0	2059.0	"
""Suriname"""	2072.0	400.0	0	0.0	2220.0	2020.0	2088	896	710.0	1448.0	1350.0	960.0	2650.0	1980	4000.0	8141.0	6240.0	3000.0	1866.0	2050.0	"
""Congo"""	1500.0	0.0	1000	900.0	0.0	0.0	300	845	1200.0	1701.0	0.0	0.0	820.0	2355	1240.0	0.0	0.0	1580.0	750.0	2000.0	"
""Slovenia"""	3665.0	17558.0	15125	127.0	37121.0	1709.0	40	15046	23848.0	1000.0	4724.0	58.0	1881.0	41345	1658.0	21431.0	2213.0	18.0	2302.0	1929.0	"
""Afghanistan"""	0.0	0.0	0	0.0	0.0	0.0	0	0	4310.0	0.0	2938.0	0.0	2956.0	1710	3866.0	93.0	0.0	1300.0	2518.0	1750.0	"
""Mauritania"""	1890.0	0.0	0	0.0	0.0	3300.0	2160	3002	0.0	2004.0	0.0	0.0	1920.0	0	0.0	3502.0	0.0	0.0	3300.0	1650.0	"
""Malta"""	7450.0	11925.0	9996	9249.0	7635.0	4467.0	6201	2673	516.0	326.0	1181.0	874.0	239.0	834	1697.0	773.0	773.0	1297.0	353.0	1633.0	"
""Curaçao"""	2965.0	2300.0	1000	3527.0	8115.0	3110.0	3664	1800	2655.0	5490.0	3897.0	3381.0	3150.0	1750	2184.0	4028.0	1468.0	4850.0	2847.0	1384.0	"
""Falkland Islands (Malvinas)"""	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	990.0	"
""Norway"""	0.0	0.0	0	0.0	3948.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	984.0	"
""Lebanon"""	50000.0	50000.0	25000	50000.0	50000.0	0.0	0	25000	25000.0	50000.0	0.0	50000.0	0.0	51540	500.0	50700.0	0.0	94950.0	0.0	890.0	"
""Nigeria"""	920.0	9543.0	0	8624.0	1473.0	2151.0	0	550	0.0	0.0	2075.0	1700.0	300.0	0	2016.0	501.0	1464.0	399.0	600.0	819.0	"
""Bonaire, Sint Eustatius and Saba"""	0.0	500.0	405	840.0	0.0	0.0	450	445	757.0	1058.0	1773.0	447.0	2731.0	1582	730.0	1086.0	1950.0	617.0	1550.0	810.0	"
""Croatia"""	287.0	21610.0	220	125.0	147.0	1174.0	287	543	228.0	252.0	262.0	312.0	385.0	418	260.0	198.0	257.0	412.0	559.0	411.0	"
""Israel"""	29500.0	1712.0	0	25000.0	25768.0	5850.0	43520	1232	0.0	29000.0	928.0	0.0	10000.0	880	0.0	0.0	415.0	0.0	0.0	396.0	"
""Guyana"""	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	384.0	"
""Latvia"""	27.0	0.0	16	33.0	0.0	0.0	2535	26	0.0	397.0	2.0	22033.0	21539.0	No Quantity	0.0	3.0	144.0	1291.0	216.0	381.0	"
""Gambia"""	300.0	5968.0	1950	1350.0	700.0	300.0	950	500	2430.0	500.0	600.0	800.0	600.0	1455	0.0	300.0	3308.0	1770.0	2150.0	294.0	"
""Estonia"""	2043.0	4541.0	206	2605.0	921.0	1809.0	228	921	2602.0	137.0	846.0	868.0	923.0	1733	1757.0	862.0	84.0	3140.0	256.0	286.0	"
""Angola"""	851.0	0.0	0	0.0	0.0	0.0	550	0	0.0	0.0	0.0	0.0	300.0	0	0.0	0.0	0.0	0.0	0.0	278.0	"
""Somalia"""	922.0	453.0	0	0.0	376.0	325.0	440	225	0.0	0.0	0.0	561.0	0.0	361	0.0	254.0	0.0	402.0	0.0	255.0	"
""Lithuania"""	602.0	85313.0	22584	65690.0	22446.0	525.0	3827	5069	423.0	42918.0	542322.0	1220.0	54689.0	1264	22845.0	22696.0	3.0	1076.0	74.0	220.0	"
""Finland"""	21.0	297.0	No Quantity	49.0	187.0	33.0	No Quantity	No Quantity	52.0	14.0	158.0	109.0	279.0	185	45.0	84.0	0.0	0.0	0.0	61.0	"
""Cuba"""	0.0	8358.0	4480	2400.0	0.0	4200.0	0	0	0.0	6560.0	0.0	6160.0	4500.0	0	6160.0	0.0	0.0	0.0	10360.0	0.0	"
""Georgia"""	0.0	0.0	0	24576.0	0.0	0.0	40000	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Congo, Democratic Republic of the"""	0.0	0.0	0	120.0	0.0	1500.0	0	0	0.0	0.0	0.0	0.0	0.0	5900	0.0	0.0	0.0	400.0	0.0	0.0	"
""Bolivia, Plurinational State of"""	0.0	0.0	0	0.0	0.0	0.0	755	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Dominican Republic"""	0.0	1075.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Equatorial Guinea"""	2424.0	3600.0	110	3200.0	210.0	400.0	2710	2340	760.0	95.0	210.0	2200.0	400.0	270	0.0	590.0	881.0	420.0	1070.0	0.0	"
""Ethiopia"""	0.0	0.0	2828	0.0	0.0	0.0	0	0	0.0	0.0	1528.0	0.0	0.0	0	0.0	0.0	0.0	1120.0	0.0	0.0	"
""Eritrea"""	0.0	0.0	0	0.0	0.0	0.0	0	0	450.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Antigua and Barbuda"""	280.0	440.0	0	0.0	250.0	564.0	640	890	650.0	650.0	824.0	0.0	0.0	0	0.0	0.0	264.0	768.0	1972.0	0.0	"
""Azerbaijan"""	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	450.0	0.0	0.0	0.0	0.0	"
""Australia"""	0.0	0.0	0	0.0	0.0	0.0	700	2171	1668.0	0.0	71000.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Algeria"""	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	140.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Bahrain"""	3009.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	17280.0	0.0	0.0	0.0	0.0	0.0	"
""Bangladesh"""	0.0	0.0	3924	0.0	0.0	0.0	0	0	0.0	0.0	0.0	200.0	0.0	0	0.0	250.0	0.0	1311.0	0.0	0.0	"
""Chad"""	0.0	0.0	0	0.0	0.0	0.0	90	0	0.0	0.0	0.0	0.0	770.0	0	0.0	0.0	0.0	0.0	740.0	0.0	"
""Chile"""	0.0	0.0	0	0.0	0.0	460.0	708	230	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Cambodia"""	672.0	2016.0	0	1344.0	0.0	0.0	1120	0	3000.0	0.0	448.0	704.0	0.0	608	0.0	0.0	0.0	0.0	0.0	0.0	"
""Cameroon"""	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	300.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Canada"""	250.0	402.0	800	0.0	550.0	1000.0	0	0	620.0	1501.0	0.0	0.0	1470.0	200	0.0	0.0	500.0	300.0	0.0	0.0	"
""Kuwait"""	0.0	0.0	176	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	50000.0	0.0	"
""Liberia"""	0.0	0.0	0	925.0	1705.0	572.0	550	0	0.0	2195.0	500.0	0.0	1163.0	210	0.0	150.0	200.0	110.0	260.0	0.0	"
""Libya, State of"""	0.0	18000.0	18000	0.0	18000.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Mauritius"""	19320.0	0.0	0	0.0	0.0	0.0	0	19320	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Mexico"""	0.0	17008.0	0	3024.0	0.0	6354.0	0	0	0.0	0.0	0.0	0.0	0.0	0	5760.0	0.0	0.0	0.0	0.0	0.0	"
""Madagascar"""	0.0	100.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Haiti"""	250.0	500.0	230	2630.0	2850.0	700.0	610	920	0.0	0.0	500.0	550.0	450.0	300	0.0	480.0	0.0	0.0	0.0	0.0	"
""Côte d'Ivoire"""	2100.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	136.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Jordan"""	0.0	0.0	0	25000.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Iceland"""	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	100.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Indonesia"""	70584.0	29856.0	197784	14928.0	122861.0	29856.0	200444	0	70272.0	274639.0	283758.0	215117.0	0.0	62008	170054.0	107708.0	173121.0	136437.0	215416.0	0.0	"
""Iran, Islamic Republic of"""	100000.0	250000.0	0	22000.0	0.0	0.0	0	0	0.0	350000.0	900000.0	875000.0	0.0	0	0.0	310000.0	25000.0	0.0	0.0	0.0	"
""Iraq"""	1120.0	16250.0	292	412.0	0.0	352.0	19716	20000	360.0	200.0	908.0	45006.0	22712.0	23700	537.0	22719.0	0.0	139.0	439.0	0.0	"
""Guinea"""	0.0	0.0	12270	450.0	0.0	0.0	0	0	2377.0	0.0	1295.0	695.0	0.0	1200	1260.0	600.0	530.0	650.0	0.0	0.0	"
""Ghana"""	100.0	600.0	7510	0.0	1850.0	0.0	2280	1100	270.0	4401.0	500.0	0.0	1650.0	798	375.0	0.0	0.0	1270.0	0.0	0.0	"
""Gibraltar"""	180.0	0.0	170	0.0	600.0	195.0	150	0	120.0	370.0	190.0	100.0	0.0	0	220.0	110.0	0.0	264.0	230.0	0.0	"
""South Africa"""	14899.0	14899.0	0	0.0	0.0	0.0	0	220	696.0	0.0	15321.0	0.0	12800.0	12800	12800.0	0.0	0.0	0.0	6720.0	0.0	"
""Sudan"""	0.0	0.0	0	0.0	320.0	0.0	0	0	0.0	0.0	2580.0	450.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Sierra Leone"""	2060.0	0.0	3150	400.0	0.0	0.0	150	0	0.0	0.0	920.0	0.0	0.0	0	0.0	0.0	3167.0	0.0	588.0	0.0	"
""Viet Nam"""	0.0	0.0	0	0.0	0.0	0.0	0	0	3106.0	2832.0	864.0	288.0	7040.0	0	5120.0	0.0	0.0	4480.0	3344.0	0.0	"
""Switzerland"""	0.0	0.0	50	0.0	0.0	0.0	0	712	725.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""United Arab Emirates"""	0.0	0.0	29760	0.0	100.0	4391.0	3910	6775	2460.0	11778.0	841.0	304.0	0.0	0	0.0	0.0	25015.0	2006.0	0.0	0.0	"
""Tunisia"""	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	22500.0	0.0	64000.0	0.0	0.0	0.0	"
""New Zealand"""	0.0	0.0	0	0.0	0.0	0.0	0	330	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Nicaragua"""	20000.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Niger"""	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	500.0	0.0	"
""Oman"""	0.0	0.0	0	0.0	0.0	295.0	1952	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	792.0	0.0	0.0	0.0	"
""Pakistan"""	0.0	0.0	260	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Panama"""	0.0	0.0	0	0.0	0.0	500.0	0	297	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Philippines"""	0.0	0.0	0	0.0	0.0	6400.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Senegal"""	25000.0	19800.0	25000	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Uganda"""	0.0	0.0	240	0.0	240.0	680.0	1144	0	0.0	0.0	120.0	640.0	0.0	0	180.0	0.0	0.0	864.0	0.0	0.0	"
""Macedonia, North"""	23000.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	1000.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Egypt"""	75000.0	50000.0	0	40447.0	24884.0	0.0	0	0	0.0	0.0	0.0	0.0	20094.0	0	0.0	18000.0	34500.0	0.0	0.0	0.0	"
""Ship stores and bunkers"""	0.0	0.0	750	0.0	0.0	0.0	0	0	490.0	540.0	2470.0	1120.0	2919.0	4500	11425.0	15784.0	6693.0	3371.0	387.0	0.0	"
""Special categories"""	3753.0	1856.0	23086	2007.0	2200.0	240.0	1600	1440	0.0	0.0	0.0	0.0	1110.0	0	0.0	0.0	0.0	0.0	0.0	0.0	"
""United States of America"""	389500.0	316993.0	238743	2840.0	20750.0	91525.0	164745	110407	219660.0	311185.0	75560.0	54911.0	73216.0	146440	129335.0	0.0	1140.0	74420.0	237965.0	0.0	"
""Burkina Faso"""	1750.0	0.0	0	2000.0	0.0	0.0	1540	0	0.0	0.0	1590.0	0.0	0.0	0	0.0	1590.0	0.0	11154.0	0.0	0.0	"
""Uruguay"""	0.0	0.0	0	0.0	0.0	0.0	0	1161	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	
																					