Importers	Exported value in 2013-M03	Exported value in 2013-M04	Exported value in 2013-M05	Exported value in 2013-M06	Exported value in 2013-M07	Exported value in 2013-M08	Exported value in 2013-M09	Exported value in 2013-M10	Exported value in 2013-M11	Exported value in 2013-M12	Exported value in 2014-M01	Exported value in 2014-M02	Exported value in 2014-M03	Exported value in 2014-M04	Exported value in 2014-M05	Exported value in 2014-M06	Exported value in 2014-M07	Exported value in 2014-M08	Exported value in 2014-M09	Exported value in 2014-M10	
"World"	23691	44126	18574	21741	49531	46680	52312	62542	63473	52829	54398	46157	53445	50178	51733	58046	54563	47398	54729	50050	
"France"	6147	16971	6072	7719	16939	17154	18386	22708	20350	17898	17553	14687	16617	18022	16281	17999	16361	12343	16856	16972	
"Belgium"	1603	10131	927	1113	13921	9394	11296	13248	15489	10939	7512	7165	10167	9031	10885	10926	8261	8643	12625	11525	
"Germany"	9824	7534	2991	4553	7183	10440	9421	13115	14120	16887	14624	8627	7697	8938	12164	16988	14399	15678	14011	9640	
"Indonesia"	470	1743	777	1950	1330	0	0	1870	0	442	1082	1086	1131	838	198	0	397	0	382	2200	
"United States of America"	0	0	0	0	0	0	0	0	0	0	1610	721	1005	1169	1097	489	760	654	724	2041	
"Italy"	3	2672	72	180	407	764	2653	2619	2506	2196	3084	2535	1669	2004	2267	2999	2572	1753	2345	1567	
"Türkiye"	82	149	86	235	186	180	113	121	2220	189	170	191	26	189	103	168	628	188	181	1084	
"United Kingdom"	2	802	1013	1657	2473	2307	2426	2647	1225	703	3265	4049	4700	1016	2137	1324	806	1339	1004	969	
"Hungary"	0	229	166	160	437	150	300	292	346	93	121	240	94	116	191	241	169	85	343	531	
"Singapore"	2606	1405	2776	866	1875	1002	1433	1024	2270	1059	1784	793	2207	1568	1634	1214	1154	1541	1911	511	
"Spain"	79	345	300	174	295	305	528	303	526	312	616	958	887	864	312	573	346	396	673	374	
"Greece"	323	503	343	388	370	531	309	422	539	187	363	202	411	407	432	643	425	233	348	371	
"Taipei, Chinese"	140	161	0	106	0	0	223	45	43	53	255	148	316	167	140	91	48	87	67	332	
"Denmark"	0	112	134	28	29	216	44	23	99	110	178	168	167	219	94	294	478	145	190	272	
"Romania"	146	75	162	1	3	88	2	88	2	260	214	296	138	152	0	12	1	0	4	269	
