Importers	2010-M01-Exported quantity, Tons	2010-M02-Exported quantity, Tons	2010-M03-Exported quantity, Tons	2010-M04-Exported quantity, Tons	2010-M05-Exported quantity, Tons	2010-M06-Exported quantity, Tons	2010-M07-Exported quantity, Tons	2010-M08-Exported quantity, Tons	2010-M09-Exported quantity, Tons	2010-M10-Exported quantity, Tons	2010-M11-Exported quantity, Tons	2010-M12-Exported quantity, Tons	2011-M01-Exported quantity, Tons	2011-M02-Exported quantity, Tons	2011-M03-Exported quantity, Tons	2011-M04-Exported quantity, Tons	2011-M05-Exported quantity, Tons	2011-M06-Exported quantity, Tons	2011-M07-Exported quantity, Tons	2011-M08-Exported quantity	Unnamed: 29"
""China"""	19	0.0	0	15.0	19	19.0	19.0	0.0	19.0	19	44.0	19	0.0	22.0	0	0	0.0	0	0.0	25.0	"
""Azerbaijan"""	0	18.0	0	34.0	20	0.0	0.0	0.0	0.0	0	25.0	0	0.0	19.0	0	0	0.0	0	0.0	25.0	"
""Saudi Arabia"""	292	87.0	95	124.0	223	50.0	193.0	8.0	328.0	51	50.0	0	25.0	25.0	1	25	52.0	0	14.0	25.0	"
""Korea, Republic of"""	18	25.0	2	19.0	25	3.0	36.0	2.0	25.0	4	3.0	0	7.0	3.0	2	3	2.0	0	2.0	20.0	"
""United States of America"""	54	106.0	121	54.0	189	91.0	18.0	13.0	66.0	244	165.0	72	126.0	144.0	90	40	0.0	0	0.0	18.0	"
""Indonesia"""	0	181.0	154	91.0	61	151.0	90.0	0.0	75.0	108	87.0	0	100.0	238.0	100	284	165.0	167	100.0	14.0	"
""Denmark"""	11	9.0	10	44.0	15	16.0	76.0	18.0	36.0	8	18.0	6	11.0	27.0	9	34	14.0	24	11.0	13.0	"
""Mauritius"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	13.0	"
""Suriname"""	0	0.0	1	2.0	2	2.0	0.0	1.0	0.0	1	0.0	0	2.0	1.0	9	0	12.0	0	1.0	7.0	"
""Taipei, Chinese"""	50	36.0	93	50.0	111	25.0	0.0	0.0	33.0	43	0.0	118	68.0	58.0	25	26	18.0	25	0.0	5.0	"
""Malaysia"""	0	1.0	0	3.0	12	0.0	0.0	6.0	1.0	0	4.0	0	8.0	1.0	0	1	0.0	6	1.0	4.0	"
""Congo, Democratic Republic of the"""	2	0.0	0	1.0	0	0.0	0.0	1.0	0.0	0	1.0	0	0.0	0.0	1	26	1.0	26	0.0	4.0	"
""Ship stores and bunkers"""	0	0.0	0	1.0	0	19.0	20.0	18.0	4.0	0	0.0	0	0.0	1.0	2	1	2.0	3	3.0	4.0	"
""Sudan (before 2012)"""	1	5.0	2	1.0	0	1.0	17.0	1.0	1.0	2	2.0	2	4.0	0.0	3	1	2.0	0	0.0	3.0	"
""Netherlands Antilles"""	4	6.0	1	4.0	2	3.0	2.0	9.0	7.0	2	8.0	3	2.0	3.0	2	3	3.0	4	5.0	3.0	"
""Aruba"""	10	0.0	9	9.0	2	1.0	8.0	6.0	2.0	1	8.0	4	9.0	4.0	9	6	8.0	6	1.0	3.0	"
""Portugal"""	No Quantity	2.0	No Quantity	2.0	0	4.0	2.0	0.0	2.0	No Quantity	2.0	No Quantity	2.0	0.0	24	No Quantity	2.0	No Quantity	2.0	2.0	"
""Sierra Leone"""	0	3.0	0	0.0	0	0.0	1.0	0.0	4.0	3	0.0	2	0.0	3.0	0	4	0.0	0	2.0	2.0	"
""United States Minor Outlying Islands"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	2.0	"
""Gabon"""	0	0.0	0	0.0	0	0.0	1.0	0.0	0.0	0	0.0	1	0.0	0.0	0	0	1.0	1	0.0	2.0	"
""Chad"""	1	1.0	0	0.0	0	2.0	0.0	3.0	0.0	0	0.0	0	1.0	3.0	0	0	0.0	3	0.0	2.0	"
""Gambia"""	0	2.0	4	1.0	1	0.0	0.0	0.0	0.0	3	3.0	4	0.0	2.0	3	1	1.0	0	0.0	1.0	"
""Cambodia"""	0	4.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	1.0	0.0	2	0	3.0	0	0.0	1.0	"
""Canada"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	1.0	"
""Israel"""	0	4.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	2	2.0	0.0	1	0	0.0	2	0.0	1.0	"
""Malta"""	1	0.0	0	0.0	0	0.0	4.0	1.0	0.0	3	0.0	0	0.0	0.0	1	0	0.0	0	1.0	1.0	"
""Türkiye"""	24	27.0	620	735.0	582	152.0	27.0	20.0	117.0	236	357.0	462	24.0	58.0	22	28	20.0	20	45.0	1.0	"
""Slovenia"""	0	0.0	8	15.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	1.0	"
""Norway"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	1.0	0	0.0	0.0	0	0	0.0	0	0.0	1.0	"
""Panama"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Poland"""	150	65.0	128	0.0	109	0.0	67.0	22.0	22.0	0	0.0	22	45.0	20.0	11	0	1.0	0	8.0	0.0	"
""Mexico"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""New Zealand"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Nigeria"""	0	3.0	0	1.0	0	0.0	0.0	3.0	3.0	0	0.0	0	3.0	2.0	0	0	0.0	0	0.0	0.0	"
""Guinea-Bissau"""	0	1.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	1.0	0	0.0	0.0	"
""Timor-Leste"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Qatar"""	0	0.0	0	0.0	26	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Romania"""	40	20.0	40	20.0	0	0.0	45.0	0.0	0.0	100	120.0	61	0.0	0.0	0	60	40.0	0	0.0	0.0	"
""Russian Federation"""	368	0.0	0	100.0	25	0.0	0.0	0.0	125.0	0	125.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Sao Tome and Principe"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Senegal"""	25	0.0	0	0.0	0	0.0	0.0	0.0	0.0	25	0.0	25	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Serbia"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	41	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Slovakia"""	22	66.0	22	0.0	23	0.0	23.0	65.0	65.0	0	0.0	22	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Viet Nam"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Somalia"""	0	0.0	0	0.0	0	0.0	1.0	0.0	1.0	0	1.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""South Africa"""	9	9.0	0	9.0	1	9.0	9.0	9.0	0.0	9	0.0	9	0.0	0.0	9	0	0.0	0	0.0	0.0	"
""Sweden"""	38	28.0	106	73.0	0	0.0	0.0	0.0	55.0	73	95.0	68	0.0	0.0	80	0	0.0	22	16.0	0.0	"
""Switzerland"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	1.0	1.0	0	0	0.0	3	0.0	0.0	"
""United Arab Emirates"""	16	0.0	0	3.0	0	18.0	0.0	0.0	0.0	0	9.0	9	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Turkmenistan"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	2.0	0.0	"
""Uganda"""	0	0.0	0	1.0	1	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	2	0.0	0.0	"
""Ukraine"""	0	0.0	0	0.0	0	0.0	0.0	0.0	114.0	0	0.0	0	10.0	0.0	0	0	0.0	0	2.0	0.0	"
""Macedonia, North"""	0	0.0	0	0.0	0	1.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	2.0	0.0	"
""Special categories"""	0	0.0	1	4.0	9	19.0	11.0	13.0	11.0	12	7.0	2	2.0	0.0	1	0	0.0	0	0.0	0.0	"
""Burkina Faso"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Uzbekistan"""	20	100.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	60	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Venezuela, Bolivarian Republic of"""	0	0.0	0	0.0	26	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Yemen"""	0	0.0	0	50.0	100	0.0	0.0	0.0	50.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Maldives"""	0	0.0	0	0.0	1	0.0	0.0	0.0	0.0	0	0.0	2	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Morocco"""	375	0.0	26	0.0	0	0.0	0.0	0.0	0.0	250	96.0	360	0.0	0.0	45	0	253.0	0	250.0	0.0	"
""Oman"""	0	0.0	11	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Namibia"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Latvia"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	23	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Liberia"""	1	0.0	2	3.0	0	1.0	1.0	0.0	1.0	2	2.0	2	0.0	0.0	1	1	1.0	0	0.0	0.0	"
""Libya, State of"""	0	18.0	0	0.0	19	0.0	0.0	21.0	0.0	18	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Lithuania"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	22	0.0	0	0.0	0.0	0	22	0.0	0	0.0	0.0	"
""Luxembourg"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	No Quantity	0	0.0	0	0.0	0.0	"
""Macao, China"""	0	0.0	14	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Madagascar"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Iran, Islamic Republic of"""	1276	488.0	900	500.0	276	250.0	0.0	1200.0	375.0	875	1350.0	250	250.0	0.0	0	0	250.0	75	200.0	0.0	"
""Iraq"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	20	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Ireland"""	157	69.0	45	0.0	0	0.0	0.0	0.0	0.0	6	0.0	0	0.0	0.0	0	0	0.0	1	0.0	0.0	"
""Guinea"""	0	0.0	0	2.0	0	1.0	0.0	2.0	0.0	0	2.0	0	4.0	0.0	0	0	0.0	1	0.0	0.0	"
""Haiti"""	0	0.0	0	0.0	0	0.0	0.0	0.0	1.0	0	2.0	4	0.0	1.0	1	0	0.0	0	0.0	0.0	"
""Hong Kong, China"""	0	0.0	0	1.0	0	0.0	0.0	0.0	0.0	0	0.0	1	0.0	0.0	0	0	0.0	0	1.0	0.0	"
""Kuwait"""	0	0.0	26	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	75.0	0	0.0	0.0	"
""Kenya"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Kazakhstan"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Côte d'Ivoire"""	0	1.0	0	0.0	0	0.0	1.0	0.0	0.0	0	1.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Jamaica"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Cabo Verde"""	0	0.0	14	14.0	14	0.0	14.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	14.0	0	0.0	0.0	"
""Sri Lanka"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Argentina"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Bulgaria"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	1	0.0	0.0	"
""Bahrain"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	9.0	0	0	0.0	0	0.0	0.0	"
""Bangladesh"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	1.0	0	0	0.0	0	0.0	0.0	"
""Barbados"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	1.0	1	3.0	0.0	0	0	0.0	0	0.0	0.0	"
""Afghanistan"""	4	4.0	5	1.0	3	3.0	1.0	1.0	10.0	1	5.0	2	3.0	4.0	6	5	3.0	5	2.0	0.0	"
""Algeria"""	0	0.0	0	125.0	50	125.0	50.0	25.0	0.0	22	0.0	0	0.0	0.0	0	0	0.0	37	0.0	0.0	"
""Andorra"""	0	0.0	0	0.0	17	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Angola"""	0	0.0	1	0.0	0	0.0	2.0	0.0	2.0	0	3.0	0	0.0	1.0	4	0	0.0	0	0.0	0.0	"
""Ghana"""	0	4.0	0	0.0	0	2.0	0.0	0.0	4.0	0	5.0	0	0.0	4.0	0	4	0.0	4	0.0	0.0	"
""Gibraltar"""	1	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Georgia"""	0	1.0	0	25.0	1	25.0	0.0	1.0	0.0	0	0.0	0	0.0	25.0	0	0	0.0	1	0.0	0.0	"
""Czech Republic"""	22	22.0	0	0.0	0	0.0	0.0	22.0	21.0	0	0.0	145	0.0	45.0	66	0	0.0	44	0.0	0.0	"
""Chile"""	0	0.0	0	0.0	25	0.0	0.0	18.0	0.0	0	25.0	0	25.0	0.0	0	0	0.0	0	0.0	0.0	"
""Congo"""	0	25.0	0	0.0	25	0.0	25.0	0.0	0.0	25	25.0	1	0.0	25.0	0	0	1.0	4	0.0	0.0	"
""Equatorial Guinea"""	1	5.0	0	0.0	1	3.0	2.0	0.0	8.0	0	5.0	2	2.0	0.0	1	0	3.0	7	5.0	0.0	"
""Ethiopia"""	0	0.0	0	0.0	0	0.0	1.0	0.0	0.0	0	0.0	0	0.0	0.0	1	0	0.0	0	0.0	0.0	"
""Eritrea"""	0	1.0	0	0.0	1	0.0	0.0	2.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	1.0	0.0	"
""Estonia"""	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	"
""Finland"""	0	0.0	0	0.0	No Quantity	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	48	96.0	120	48.0	0.0	
																					