Importers	2013-M03-Exported quantity, Tons	2013-M04-Exported quantity, Tons	2013-M05-Exported quantity, Tons	2013-M06-Exported quantity, Tons	2013-M07-Exported quantity, Tons	2013-M08-Exported quantity, Tons	2013-M09-Exported quantity, Tons	2013-M10-Exported quantity, Tons	2013-M11-Exported quantity, Tons	2013-M12-Exported quantity, Tons	2014-M01-Exported quantity, Kilograms	2014-M02-Exported quantity, Kilograms	2014-M03-Exported quantity, Kilograms	2014-M04-Exported quantity, Kilograms	2014-M05-Exported quantity, Kilograms	2014-M06-Exported quantity, Kilograms	2014-M07-Exported quantity, Kilograms	2014-M08-Exported quantity, Kilograms	2014-M09-Exported quantity, Kilograms	2014-M10-Exported quantity, Kilograms	Unnamed: 25"
""Morocco"""	100	0.0	200.0	21.0	0.0	21.0	0.0	0	0.0	0	80.0	121000.0	200000.0	475106.0	66984.0	364099.0	300000.0	0.0	225000.0	25000.0	"
""Switzerland"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	3	0.0	0.0	25080.0	0.0	600.0	0.0	0.0	0.0	0.0	20000.0	"
""China"""	19	36.0	0.0	0.0	0.0	6.0	44.0	0	6.0	0	17684.0	0.0	43164.0	12800.0	160680.0	84382.0	35420.0	140580.0	53864.0	14000.0	"
""Lithuania"""	22	22.0	0.0	0.0	22.0	0.0	24.0	4	0.0	22	4000.0	4000.0	0.0	0.0	1000.0	1000.0	3676.0	5200.0	4400.0	13500.0	"
""Cabo Verde"""	0	0.0	14.0	0.0	0.0	0.0	14.0	0	0.0	0	0.0	13464.0	0.0	0.0	13464.0	0.0	13464.0	0.0	0.0	13464.0	"
""Malaysia"""	6	8.0	1.0	4.0	0.0	5.0	1.0	4	0.0	0	16544.0	1440.0	6704.0	4840.0	18800.0	6400.0	800.0	7696.0	6400.0	8000.0	"
""Aruba"""	12	16.0	2.0	2.0	2.0	2.0	2.0	3	4.0	8	928.0	2923.0	2055.0	4365.0	8784.0	492.0	2445.0	4621.0	3224.0	7771.0	"
""Bulgaria"""	0	0.0	0.0	0.0	0.0	0.0	3.0	2	5.0	0	724.0	0.0	23029.0	2673.0	1536.0	2519.0	5383.0	0.0	14187.0	6082.0	"
""Malta"""	0	1.0	0.0	0.0	5.0	1.0	0.0	0	5.0	0	960.0	0.0	0.0	640.0	480.0	960.0	0.0	5000.0	0.0	5000.0	"
""Special categories"""	157	51.0	19.0	9.0	259.0	181.0	258.0	358	217.0	63	1295.0	2383.0	2086.0	1300.0	5414.0	1968.0	14303.0	3919.0	5270.0	4447.0	"
""Equatorial Guinea"""	0	0.0	2.0	3.0	12.0	0.0	1.0	1	8.0	6	8216.0	7802.0	6100.0	0.0	5512.0	1471.0	722.0	9601.0	0.0	3520.0	"
""Chad"""	1	2.0	2.0	2.0	0.0	0.0	0.0	1	1.0	0	0.0	3900.0	0.0	1100.0	0.0	0.0	2000.0	0.0	0.0	3500.0	"
""Portugal"""	1	1.0	1.0	0.0	1.0	2.0	0.0	1	1.0	0	310.0	774.0	628.0	974.0	919.0	1105.0	2936.0	4130.0	603.0	2994.0	"
""Korea, Republic of"""	0	0.0	20.0	0.0	0.0	0.0	0.0	0	0.0	0	2400.0	9000.0	2408.0	1604.0	3500.0	720.0	800.0	5000.0	1000.0	2880.0	"
""Liberia"""	2	0.0	1.0	3.0	2.0	0.0	0.0	1	1.0	0	1070.0	120.0	0.0	0.0	0.0	0.0	972.0	0.0	103.0	2680.0	"
""Ghana"""	5	0.0	0.0	0.0	1.0	1.0	0.0	0	0.0	0	0.0	0.0	800.0	0.0	0.0	120.0	2880.0	0.0	0.0	2060.0	"
""Cameroon"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	518.0	0.0	0.0	0.0	0.0	0.0	0.0	2000.0	"
""Central African Republic"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	1640.0	6700.0	4402.0	550.0	0.0	345.0	620.0	1700.0	"
""Uganda"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	288.0	0.0	0.0	1357.0	"
""Haiti"""	0	0.0	0.0	0.0	1.0	0.0	0.0	3	0.0	2	426.0	260.0	100.0	540.0	980.0	930.0	210.0	750.0	530.0	1300.0	"
""Estonia"""	0	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0	0	0.0	644.0	0.0	0.0	766.0	0.0	0.0	0.0	0.0	1214.0	"
""Ireland"""	0	1.0	1.0	1.0	271.0	142.0	116.0	0	0.0	0	675.0	835.0	90802.0	976.0	565.0	843.0	1129.0	1183.0	858.0	1029.0	"
""Ethiopia"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	704.0	"
""Japan"""	0	0.0	0.0	0.0	0.0	0.0	75.0	50	0.0	0	0.0	0.0	50000.0	389200.0	0.0	0.0	1417800.0	475003.0	0.0	700.0	"
""Bonaire, Sint Eustatius and Saba"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	1051.0	639.0	252.0	248.0	0.0	0.0	388.0	1366.0	695.0	"
""Angola"""	0	4.0	2.0	9.0	0.0	0.0	1.0	5	1.0	4	250.0	250.0	0.0	0.0	1000.0	99.0	0.0	1200.0	2020.0	614.0	"
""Bangladesh"""	0	0.0	0.0	1.0	0.0	0.0	0.0	1	0.0	0	500.0	300.0	1080.0	500.0	0.0	0.0	0.0	0.0	524.0	524.0	"
""Mauritania"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	484.0	0.0	0.0	0.0	0.0	104.0	0.0	506.0	"
""Cambodia"""	0	0.0	1.0	0.0	0.0	0.0	0.0	0	0.0	0	224.0	1848.0	1736.0	448.0	224.0	0.0	920.0	0.0	336.0	488.0	"
""Iraq"""	22	0.0	1.0	0.0	0.0	0.0	0.0	0	20.0	0	618.0	0.0	880.0	6293.0	0.0	17260.0	0.0	0.0	562.0	440.0	"
""Côte d'Ivoire"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	430.0	0.0	160.0	0.0	0.0	295.0	"
""South Africa"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	975.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200.0	"
""Luxembourg"""	0	11.0	0.0	0.0	22.0	44.0	44.0	No Quantity	0.0	22	0.0	0.0	62.0	120.0	21942.0	89.0	21948.0	21956.0	91.0	76.0	"
""Libya, State of"""	0	0.0	2.0	36.0	0.0	0.0	0.0	20	18.0	0	2330.0	50.0	16700.0	44.0	3188.0	16676.0	0.0	0.0	0.0	0.0	"
""Kuwait"""	0	0.0	0.0	50.0	0.0	125.0	0.0	0	0.0	0	0.0	0.0	776.0	0.0	819.0	0.0	0.0	0.0	0.0	0.0	"
""Lebanon"""	94	5.0	27.0	78.0	1.0	26.0	3.0	45	70.0	0	186.0	172560.0	2200.0	28000.0	150080.0	22200.0	50425.0	25000.0	113000.0	0.0	"
""Latvia"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	4800.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Mauritius"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	6880.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Mali"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	2.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4300.0	0.0	"
""Netherlands Antilles"""	0	1.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Curaçao"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	710.0	3082.0	1529.0	2565.0	3688.0	1500.0	1152.0	2274.0	3500.0	0.0	"
""Moldova, Republic of"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	1114.0	0.0	0.0	0.0	768.0	0.0	0.0	0.0	0.0	"
""Jordan"""	1	1.0	0.0	0.0	25.0	0.0	0.0	0	0.0	0	0.0	0.0	25000.0	0.0	0.0	0.0	0.0	0.0	25000.0	0.0	"
""Israel"""	0	2.0	17.0	1.0	2.0	3.0	0.0	3	0.0	2	0.0	300.0	632.0	0.0	2022.0	2140.0	0.0	0.0	6800.0	0.0	"
""Iran, Islamic Republic of"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100000.0	100000.0	0.0	"
""Hong Kong, China"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	346.0	0.0	420.0	0.0	270.0	0.0	420.0	0.0	0.0	"
""Iceland"""	0	0.0	0.0	0.0	1.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Gibraltar"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Guinea"""	10	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	15800.0	15800.0	0.0	0.0	0.0	0.0	"
""Barbados"""	2	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Azerbaijan"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	4.0	1	768.0	1536.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Algeria"""	0	0.0	0.0	0.0	28.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Comoros"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	850.0	0.0	0.0	0.0	0.0	"
""Congo"""	1	0.0	3.0	0.0	1.0	25.0	1.0	1	0.0	0	3500.0	0.0	904.0	300.0	1600.0	72.0	0.0	500.0	1623.0	0.0	"
""Congo, Democratic Republic of the"""	1	1.0	1.0	2.0	0.0	0.0	2.0	5	1.0	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Croatia"""	0	0.0	0.0	21.0	0.0	0.0	21.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Cuba"""	0	0.0	0.0	1.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Cyprus"""	0	0.0	20.0	0.0	11.0	0.0	0.0	36	0.0	0	216.0	0.0	48360.0	0.0	22866.0	37168.0	22500.0	37600.0	326.0	0.0	"
""Czech Republic"""	0	0.0	21.0	21.0	55.0	0.0	85.0	0	41.0	12	42700.0	43200.0	0.0	22200.0	0.0	43200.0	0.0	21000.0	0.0	0.0	"
""Eritrea"""	0	1.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	0.0	0.0	0.0	"
""Finland"""	0	0.0	0.0	0.0	1.0	8.0	0.0	3	0.0	0	5354.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	"
""Gabon"""	0	1.0	1.0	0.0	1.0	0.0	1.0	No Quantity	1.0	0	240.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Georgia"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	7	0.0	3072.0	0.0	0.0	0.0	7680.0	0.0	0.0	0.0	0.0	"
""Gambia"""	0	1.0	1.0	0.0	0.0	0.0	3.0	2	1.0	0	1200.0	910.0	0.0	1250.0	0.0	0.0	960.0	500.0	0.0	0.0	"
""Canada"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	803.0	0.0	0.0	0.0	127.0	0.0	400.0	0.0	0.0	0.0	"
""Chile"""	18	0.0	16.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	29664.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Dominican Republic"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	160.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0	"
""Russian Federation"""	20	7.0	27.0	4.0	23.0	17.0	18.0	0	16.0	15	0.0	32348.0	0.0	0.0	0.0	16508.0	0.0	0.0	0.0	0.0	"
""Sao Tome and Principe"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Syrian Arab Republic"""	24	0.0	0.0	24.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	24000.0	0.0	0.0	0.0	0.0	"
""Trinidad and Tobago"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""United Arab Emirates"""	0	0.0	0.0	0.0	7.0	6.0	0.0	6	9.0	12	17020.0	0.0	13824.0	12400.0	6912.0	25000.0	0.0	6912.0	0.0	0.0	"
""Ukraine"""	8	4.0	0.0	0.0	2.0	0.0	2.0	0	0.0	0	0.0	9536.0	0.0	0.0	0.0	0.0	0.0	768.0	0.0	0.0	"
""Macedonia, North"""	0	1.0	0.0	2.0	1.0	0.0	1.0	0	0.0	0	0.0	0.0	0.0	1252.0	0.0	0.0	1000.0	0.0	0.0	0.0	"
""Egypt"""	0	0.0	0.0	17.0	0.0	0.0	0.0	0	0.0	0	0.0	16800.0	0.0	0.0	16000.0	0.0	0.0	0.0	16800.0	0.0	"
""Sudan"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	1660.0	0.0	880.0	1969.0	0.0	1390.0	0.0	0.0	0.0	"
""Sudan (before 2012)"""	2	1.0	1.0	1.0	3.0	0.0	2.0	1	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""New Zealand"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Niger"""	0	0.0	0.0	0.0	5.0	0.0	0.0	0	0.0	0	0.0	19323.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Nigeria"""	0	2.0	2.0	3.0	0.0	0.0	0.0	6	0.0	1	1500.0	2040.0	500.0	2572.0	0.0	4057.0	2452.0	0.0	0.0	0.0	"
""Norway"""	0	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0	0	5970.0	0.0	2160.0	0.0	0.0	0.0	0.0	275.0	482.0	0.0	"
""Philippines"""	0	0.0	0.0	0.0	0.0	0.0	3.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Qatar"""	0	0.0	0.0	8.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Sint Maarten (Dutch part)"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	790.0	0.0	0.0	0.0	0.0	0.0	520.0	0.0	"
""Serbia"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Seychelles"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Sierra Leone"""	0	1.0	0.0	2.0	2.0	2.0	1.0	1	0.0	0	1025.0	0.0	300.0	5400.0	1000.0	2112.0	0.0	0.0	130.0	0.0	"
""Slovakia"""	0	3.0	0.0	2.0	1.0	23.0	0.0	0	23.0	0	21600.0	0.0	21600.0	21600.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Viet Nam"""	11	2.0	0.0	1.0	0.0	1.0	1.0	2	0.0	0	0.0	0.0	240.0	0.0	0.0	0.0	600.0	800.0	0.0	0.0	"
""Slovenia"""	0	0.0	0.0	0.0	0.0	0.0	0.0	0	4.0	0	0.0	21250.0	0.0	0.0	20000.0	0.0	1300.0	12050.0	10000.0	0.0	"
""Uzbekistan"""	20	20.0	19.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Venezuela, Bolivarian Republic of"""	0	0.0	0.0	0.0	0.0	42.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"
""Yemen"""	0	0.0	0.0	75.0	0.0	0.0	0.0	0	0.0	0	0.0	130.0	0.0	0.0	100000.0	49975.0	0.0	0.0	0.0	0.0	
																					