Importers	Exported value in 2014-M10	Exported value in 2014-M11	Exported value in 2014-M12	Exported value in 2015-M01	Exported value in 2015-M02	Exported value in 2015-M03	Exported value in 2015-M04	Exported value in 2015-M05	Exported value in 2015-M06	Exported value in 2015-M07	Exported value in 2015-M08	Exported value in 2015-M09	Exported value in 2015-M10	Exported value in 2015-M11	Exported value in 2015-M12	Exported value in 2016-M01	Exported value in 2016-M02	Exported value in 2016-M03	Exported value in 2016-M04	Exported value in 2016-M05	
"World"	50050	42358	38598	39206	36581	48455	44722	40081	46979	43539	41093	54135	57032	63100	62066	44855	47803	59114	48800	39782	
"France"	16972	14436	14672	12614	9083	13827	12981	10485	13015	8663	11660	13623	14178	16121	16393	12122	13579	16187	13573	12911	
"Germany"	9640	10657	5890	11657	10161	14352	10209	10584	16432	13407	11376	15278	15186	21248	22856	12880	10865	20514	12500	9948	
"Belgium"	11525	8047	9989	6244	5636	7803	6967	5912	8688	8972	8100	9584	10241	11302	10985	9036	9627	10421	7400	8788	
"United States of America"	2041	945	1176	1172	2555	1992	2412	2846	1673	2848	1435	1711	1024	1213	642	1987	1891	1379	1101	1743	
"Singapore"	511	1720	1217	1173	2095	1766	3083	2557	570	804	1954	1481	1212	148	571	641	1255	847	944	861	
"Spain"	374	342	366	356	527	363	692	464	379	573	351	431	513	434	361	658	721	681	515	535	
"Indonesia"	2200	372	0	72	460	1330	939	191	0	551	0	352	1442	931	0	550	622	792	1328	412	
"Greece"	371	297	176	249	221	276	559	425	419	194	173	401	491	437	512	253	326	320	412	359	
"Poland"	96	294	361	298	389	516	336	439	106	16	324	563	504	215	87	200	179	248	229	335	
"Syrian Arab Republic"	0	88	0	0	0	0	99	156	254	468	92	138	146	0	695	0	0	0	456	319	
"Saudi Arabia"	90	24	12	204	406	176	69	428	208	219	328	11	286	5	291	149	141	549	17	306	
"Iran, Islamic Republic of"	0	0	0	0	0	155	0	172	0	545	0	725	797	336	976	0	743	0	1300	251	
"Morocco"	78	0	0	326	36	0	0	0	83	0	0	0	0	0	261	161	144	281	65	249	
"Italy"	1567	1463	1396	1670	2274	1481	955	2193	771	372	954	2961	1529	1012	1148	1258	531	424	388	216	
"Austria"	180	82	357	274	29	87	102	42	187	54	72	105	377	394	158	212	398	205	85	213	
"United Kingdom"	969	535	207	84	158	1200	178	152	212	769	335	375	283	387	455	384	469	325	404	213	
"Egypt"	0	66	0	0	0	33	63	0	514	43	0	32	45	0	863	0	332	1616	1044	207	
"China"	43	72	47	123	67	0	100	89	189	285	0	319	152	17	62	246	217	98	164	174	
"Hungary"	531	375	857	234	225	187	384	399	78	788	885	1478	2339	1982	1471	1842	2128	1040	170	173	
"Japan"	4	0	618	10	0	1201	1671	167	8	1941	479	0	21	4	2	0	0	915	4504	153	
"Lebanon"	0	300	0	0	466	196	5	158	64	5	148	71	214	129	0	142	187	195	173	124	
"Slovakia"	0	0	0	0	0	0	0	0	0	0	0	122	0	67	131	134	93	1	1	119	
"Denmark"	272	538	164	182	182	143	168	356	387	39	151	101	165	464	280	226	302	126	63	118	
"Türkiye"	1084	333	100	182	102	219	424	180	1063	149	623	1789	161	1118	421	90	296	194	581	100	
"Israel"	0	50	7	0	0	7	0	44	19	2	0	0	43	0	6	0	52	0	0	92	
