Importers	Exported value in 2016-M05	Exported value in 2016-M06	Exported value in 2016-M07	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	Exported value in 2017-M09	Exported value in 2017-M10	Exported value in 2017-M11	Exported value in 2017-M12	
"World"	39782	52278	50248	54810	66390	66610	81945	84687	59727	57349	69840	63516	75921	87343	83818	98828	100442	114847	102209	84952	
"Germany"	9948	15800	15787	16316	16629	22790	26797	37031	18938	18852	17388	12611	19841	23073	25675	31496	35645	33839	27131	27778	
"France"	12911	12658	11920	14582	22012	14970	23113	20113	18682	15918	18757	19467	23854	25584	25864	28422	28863	38137	36544	25659	
"Belgium"	8788	12981	9022	12240	14354	15597	14479	11612	9735	8209	12568	11855	16014	18913	13441	16910	15147	18057	17174	14758	
"United Kingdom"	213	852	864	1963	3101	3766	3866	6515	3558	2616	2078	3296	3118	3231	4363	6421	7691	8988	3329	3793	
"China"	174	144	249	50	330	204	63	356	355	200	84	177	266	463	47	349	368	0	354	2052	
"Singapore"	861	1102	1291	1056	2111	1433	2391	2190	775	64	826	666	1263	371	1292	1389	1003	866	1528	1833	
"Poland"	335	298	474	481	375	556	880	870	366	747	391	1067	1850	1911	673	1167	1260	1321	2211	1637	
"Japan"	153	784	1691	1081	0	0	0	0	0	0	735	2679	771	3426	1031	0	312	0	124	1100	
"Cyprus"	75	29	128	0	25	92	0	27	0	104	204	0	1041	1021	1529	3108	0	0	286	962	
"Greece"	359	257	207	369	619	536	496	645	409	445	605	432	573	1076	623	404	555	536	921	872	
"Italy"	216	233	646	712	379	528	1649	843	667	325	666	348	743	312	390	647	1345	1872	1457	783	
"Spain"	535	772	956	845	691	1083	1244	1009	763	366	783	807	730	806	1181	1623	683	1671	1233	526	
"Romania"	76	157	223	348	348	424	117	143	303	166	95	18	178	501	282	317	441	118	375	370	
"Hungary"	173	221	260	284	438	412	324	238	458	239	2872	222	364	298	409	496	648	918	612	318	
