Importers	Exported value in 2019-M07	Exported value in 2019-M08	Exported value in 2019-M09	Exported value in 2019-M10	Exported value in 2019-M11	Exported value in 2019-M12	Exported value in 2020-M01	Exported value in 2020-M02	Exported value in 2020-M03	Exported value in 2020-M04	Exported value in 2020-M05	Exported value in 2020-M06	Exported value in 2020-M07	Exported value in 2020-M08	Exported value in 2020-M09	Exported value in 2020-M10	Exported value in 2020-M11	Exported value in 2020-M12	Exported value in 2021-M01	Exported value in 2021-M02	
"World"	86051	63844	81741	88131	80910	90641	82512	78253	93879	64167	73769	68748	68790	74126	87172	81393	77996	72161	62797	61002	
"Germany"	25367	20968	33531	30047	24535	28509	34489	24810	32862	21051	19040	25391	26489	28305	32095	27016	29263	31251	21936	17642	
"France"	21154	18462	18793	22087	22722	21085	21171	21549	22963	12110	20585	18166	18351	20950	22519	22994	18886	15894	14572	15600	
"Belgium"	9246	9063	9684	12759	11230	10613	9715	9768	9683	7864	15526	12081	7916	11844	11431	12883	11229	10138	10146	11780	
"Italy"	1577	1570	3108	2279	2636	1533	1566	2109	1631	1156	1454	1339	1176	1426	2728	1798	2316	1206	1759	2074	
"Poland"	472	826	1337	3063	1879	1882	969	1549	1162	1277	833	1144	1209	1592	2881	2841	2786	1895	1591	2010	
"China"	1192	415	534	809	784	601	748	565	89	987	1095	1050	1254	1058	762	1407	856	478	824	1608	
"United States of America"	0	0	17	174	183	3931	2735	5057	9074	8146	2229	0	0	0	44	120	10	0	2152	1588	
"Cyprus"	12496	5	67	85	89	17	70	773	81	3	2	151	273	0	11	9	19	16	1526	1030	
"Lithuania"	65	0	0	75	0	1	167	72	85	120	840	713	284	252	222	119	21	145	355	833	
"Indonesia"	2410	2287	747	2391	665	0	669	674	1625	1452	641	0	942	1051	1231	2063	977	0	1795	767	
"Spain"	1017	724	1082	1076	1389	963	978	1193	1114	272	801	1085	1040	964	1223	1007	1193	770	782	730	
"Singapore"	2265	780	782	2689	735	1768	351	331	1163	1981	749	783	904	919	418	946	658	1113	795	599	
"Romania"	202	155	325	216	608	470	0	384	123	267	311	238	17	510	431	191	643	533	339	432	
"Türkiye"	82	278	873	463	2240	3401	380	803	2319	489	358	10	359	3	0	10	546	300	17	413	
"Korea, Republic of"	45	89	110	7	43	119	90	408	6	16	54	199	161	199	101	182	136	156	128	323	
"Lebanon"	102	113	183	85	94	0	105	0	269	0	0	0	1	0	170	112	83	0	177	262	
"Austria"	327	357	437	381	171	143	474	317	207	302	326	113	269	172	414	291	479	156	197	239	
"Saudi Arabia"	0	108	501	103	398	112	0	390	696	1007	1453	0	97	98	204	110	0	114	107	225	
"Bulgaria"	63	0	149	220	398	323	446	14	84	319	40	134	83	174	339	254	385	220	438	223	
"Greece"	327	228	638	454	1030	517	417	763	416	131	283	581	525	639	686	649	630	550	449	217	
"Denmark"	273	89	1049	1074	1394	2228	1579	757	1059	520	244	469	921	1201	724	571	584	848	201	210	
"Czech Republic"	0	0	69	192	84	192	117	104	109	37	102	127	69	109	117	115	252	89	158	195	
"Syrian Arab Republic"	838	118	182	476	94	274	0	602	663	431	466	317	156	0	139	0	0	266	0	182	
"Hungary"	88	147	92	157	305	184	381	280	663	142	54	21	168	247	261	314	248	163	231	181	
"Egypt"	0	774	675	547	1916	630	481	721	0	629	596	378	956	81	226	225	570	0	184	169	
"Latvia"	1	2	2	1	1	1	1	0	0	2	1	1	2	1	8	0	0	354	81	147	
"Israel"	42	0	0	2	70	0	3	39	0	0	100	0	7	77	112	82	334	117	0	113	
"Malaysia"	5	63	88	128	21	10	217	5	465	95	227	125	1	4	249	79	117	4	46	108	
"Senegal"	0	8	0	92	37	0	96	214	0	0	104	0	198	0	91	113	105	102	100	102	
"Cameroon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	
"Jordan"	0	0	96	0	0	0	94	97	200	0	0	0	0	182	0	0	0	88	0	93	
"Iraq"	66	164	5	89	29	6	43	31	0	7	75	119	53	3	0	3	31	8	27	92	
"Qatar"	0	1	2	1	1	2	86	2	104	5	85	1	1	1	1	0	93	0	92	92	
"Japan"	2519	595	202	624	540	2036	179	730	567	1206	486	930	511	190	831	173	0	276	178	90	
"Sweden"	129	205	96	166	192	101	203	114	167	63	117	91	92	74	122	224	67	65	123	85	
"Switzerland"	0	0	4	0	158	76	0	232	227	0	0	0	440	437	1316	1013	2379	2474	137	75	
"Taipei, Chinese"	98	162	241	527	395	84	715	294	174	241	393	229	429	121	0	239	373	121	357	69	
"Morocco"	0	304	0	320	576	2419	296	721	892	705	482	526	430	0	0	0	214	199	35	61	
"Ireland"	3	3	6	2	90	1039	92	22	236	9	93	173	188	16	501	657	79	665	67	47	
"Slovenia"	4	0	1	2	0	0	18	16	14	17	13	77	21	21	1	101	21	32	4	33	
"Aruba"	11	15	28	18	31	16	40	12	21	13	7	7	13	11	15	10	20	29	24	21	
"United Kingdom"	1597	1190	3060	1313	1715	1692	798	918	832	122	399	304	604	460	3487	1973	1069	497	11	19	
"Curaçao"	1	4	3	21	14	7	15	12	10	11	46	10	19	15	33	4	7	18	19	15	
"Sierra Leone"	2	0	3	0	0	0	7	0	0	10	0	2	0	0	0	13	0	0	4	12	
"Suriname"	19	25	32	8	31	0	10	48	39	11	0	0	32	0	8	10	18	17	19	10	
"Malta"	7	4	7	22	9	6	24	0	23	4	0	0	13	6	1	12	20	5	4	9	
"Special categories"	0	14	0	56	38	28	7	4	5	0	0	0	1	0	0	1	1	3	153	8	
"Bonaire, Sint Eustatius and Saba"	8	0	3	9	17	2	11	10	12	0	2	2	3	4	2	0	9	4	4	8	
"Chad"	0	0	0	0	9	0	8	0	0	0	7	0	0	0	0	0	0	0	0	5	
"Cambodia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
"Mali"	41	24	15	1	8	0	12	5	3	11	8	12	0	0	7	0	5	2	0	4	
"Portugal"	251	579	747	283	265	259	7	126	38	57	137	326	670	68	195	25	79	24	25	2	
"Norway"	0	23	0	0	0	152	0	32	0	0	0	0	1	0	2	0	3	0	3	2	
"Congo"	5	0	0	0	6	5	9	0	7	0	5	0	3	0	0	0	0	6	4	2	
"Equatorial Guinea"	0	9	3	5	0	3	2	1	4	0	0	1	0	0	0	2	0	0	10	2	
"Gambia"	3	4	4	11	12	3	9	5	9	2	1	0	0	1	7	0	0	0	0	1	
"Croatia"	1	0	1	1	39	2	1	1	92	2	2	1	1	1	5	1	3	2	2	1	
"Canada"	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	1	
"Luxembourg"	0	1	0	1	1	1	1	1	0	1	1	1	2	2	3	7	2	4	0	1	
"Gibraltar"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	
"Somalia"	6	0	3	0	4	1	0	14	14	4	0	0	0	0	4	2	0	1	2	1	
"South Africa"	0	1105	0	0	39	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	
"Sudan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	
"Slovakia"	8	0	5	0	0	0	5	0	0	64	0	0	8	0	0	0	0	0	72	0	
"Viet Nam"	24	83	76	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Uganda"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Ukraine"	0	355	321	1272	595	1504	895	0	0	0	1310	440	324	0	0	0	0	73	63	0	
"Thailand"	0	207	0	104	103	0	106	89	0	0	0	0	24	0	0	0	0	0	0	0	
"United Arab Emirates"	791	0	787	792	0	0	80	1	0	0	0	0	123	0	619	0	0	349	41	0	
"Tunisia"	0	0	0	82	0	0	0	0	261	0	0	0	196	316	125	125	119	0	0	0	
"Panama"	0	0	0	2	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	
"Philippines"	11	48	44	0	150	0	39	0	38	0	0	0	0	0	0	0	0	0	0	0	
"Serbia"	0	0	0	0	0	1278	0	0	0	0	785	262	0	0	0	0	0	0	0	0	
"Rwanda"	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	
"Sao Tome and Principe"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Maldives"	0	0	0	0	0	0	95	0	3	0	0	0	0	0	0	4	0	0	90	0	
"Niger"	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	
"Nigeria"	0	9	3	2	6	6	0	0	4	0	0	1	0	0	0	0	0	0	0	0	
"Sint Maarten (Dutch part)"	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	
"Ship stores and bunkers"	658	673	693	26	28	28	29	26	10	0	0	0	2	0	0	0	0	0	0	0	
"Burkina Faso"	16	0	16	0	0	10	0	0	15	36	0	13	0	82	0	22	0	0	0	0	
"Uzbekistan"	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Ghana"	8	0	0	1	0	0	0	0	0	2	0	0	0	4	0	3	1	4	0	0	
"Guinea"	0	0	0	0	0	11	0	3	6	0	0	7	0	1	0	0	0	6	0	0	
"Guyana"	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
"Hong Kong, China"	0	4	8	7	0	0	3	0	0	15	7	0	3	3	0	3	0	137	0	0	
"Côte d'Ivoire"	0	0	0	0	0	0	0	0	9	88	0	0	0	77	0	0	0	0	74	0	
"Jamaica"	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Kenya"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
"Lao People's Democratic Republic"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Liberia"	0	1	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	
"Libya, State of"	0	0	0	2	0	1	0	0	0	0	3	0	0	0	0	4	0	0	0	0	
"Mauritania"	0	11	0	0	4	0	0	9	0	7	0	0	0	0	0	5	0	0	6	0	
"Mauritius"	0	0	0	0	3	0	0	76	5	0	0	0	0	1	0	0	0	0	0	0	
"Mexico"	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	
"Mozambique"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Oman"	0	0	0	0	0	90	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
"Cabo Verde"	0	1	0	0	1	0	2	85	0	0	0	0	81	0	0	0	0	82	0	0	
"Central African Republic"	16	4	4	6	0	4	0	0	0	0	0	2	18	0	0	0	0	0	0	0	
"Myanmar"	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	
"Bahrain"	0	0	0	0	0	0	0	35	389	408	400	0	151	0	0	0	0	0	0	0	
"Bangladesh"	0	0	0	0	0	5	0	4	0	0	0	0	3	0	0	0	0	4	0	0	
"Bosnia and Herzegovina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Afghanistan"	4	0	19	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	21	0	
"Algeria"	0	0	0	0	0	75	0	0	464	0	0	0	236	0	0	0	0	0	0	0	
"Antigua and Barbuda"	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	4	0	1	0	0	
"Azerbaijan"	0	0	0	0	0	0	1	91	0	0	64	64	0	0	0	0	5	0	0	0	
"Australia"	0	82	32	0	0	35	96	0	0	199	165	197	148	120	0	124	0	0	0	0	
"Cuba"	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	
"Congo, Democratic Republic of the"	4	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	
"Comoros"	0	0	5	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	7	0	
"Palestine, State of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	
"Gabon"	0	75	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	
"Georgia"	0	90	0	87	0	89	0	92	179	0	66	182	68	0	0	0	0	0	0	0	
"Ethiopia"	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Eritrea"	0	0	0	5	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
"Estonia"	0	0	0	0	0	0	4	0	42	0	0	0	0	0	0	0	0	52	0	0	
"Finland"	0	0	0	0	0	0	2	2	0	0	0	0	3	0	3	3	0	1	0	0	
